cellType 	 gene 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 nucIntensityTotal 	 nucIntensityAvg 	numCyclin 	 totalRNA 	 cytoRNA 	 nucRNA 	numTxnSites 	 avgIntron 	 avgExon 	 numRnaPerTxnSiteAvgExon 
A549	PPP2R1A	120622	1	1	1316.891519	1657.796875	2881	2577	304	228.468750	6228572.000000	425.972644	99	220	197	23	1	202.383993	1127.500261	1.408981
A549	PPP2R1A	120622	1	2	963.399970	874.968750	2360	1904	456	209.109375	10007317.000000	747.763356	110	212	171	41	1	410.623890	856.026628	0.892444
A549	PPP2R1A	120622	1	3	1346.785230	1195.515625	3344	2933	411	244.765625	7906245.000000	504.707628	78	266	239	27	2	194.251313	886.310416	1.108309
A549	PPP2R1A	120622	1	4	1145.452992	1342.578125	1796	1597	199	283.062500	4837215.000000	267.013414	31	143	119	24	0	0.000000	0.000000	0.000000
A549	PPP2R1A	120622	2	1	1071.187071	1079.078125	2780	2264	516	250.484375	9518892.000000	593.780301	127	223	185	38	3	217.986241	965.076919	1.012356
A549	PPP2R1A	120622	2	2	1217.002372	1171.531250	2240	2070	170	199.281250	4195995.000000	328.994433	87	271	255	16	1	134.686113	449.730597	0.836070
A549	PPP2R1A	120622	2	3	714.419407	737.890625	2102	1660	442	171.468750	4882466.000000	444.912156	17	208	175	33	1	227.447015	911.656357	1.083490
A549	PPP2R1A	120622	3	1	1196.103939	922.734375	2413	2018	395	202.718750	4893662.000000	377.189918	6	240	206	34	2	257.511796	965.832396	1.179280
A549	PPP2R1A	120622	3	2	1185.936652	1100.031250	2456	2231	225	185.890625	3742210.000000	314.550727	53	188	176	12	1	187.999692	333.215232	0.528046
A549	PPP2R1A	120622	3	3	1132.761761	1091.015625	2521	2166	355	199.562500	5335218.000000	417.727686	13	249	218	31	2	389.266646	820.020561	0.832856
A549	PPP2R1A	120622	4	1	1047.683526	802.609375	2316	1843	473	205.875000	6756362.000000	512.777930	82	208	174	34	2	193.467888	683.338946	1.052715
A549	PPP2R1A	120622	4	2	853.743012	726.875000	1779	1476	303	182.890625	3188417.000000	272.397864	8	194	160	34	3	139.741319	438.224960	0.691246
A549	PPP2R1A	120622	5	1	2562.316081	5010.109375	7845	7125	720	420.828125	12115053.000000	449.821891	257	553	514	39	0	0.000000	0.000000	0.000000
A549	PPP2R1A	120622	5	2	1107.444302	778.328125	2554	2090	464	189.656250	3844282.000000	316.714615	49	224	193	31	2	285.115457	401.341635	0.566241
A549	PPP2R1A	120622	5	3	1711.894845	1500.125000	3641	2925	716	323.421875	9838352.000000	475.305667	129	262	221	41	1	417.788544	1141.789052	1.179903
A549	PPP2R1A	120622	6	1	1069.529855	845.531250	1945	1654	291	164.187500	4456173.000000	424.074324	32	169	148	21	1	196.137563	644.672756	0.652319
A549	PPP2R1A	120622	6	2	1633.574919	1291.406250	3907	3186	721	206.875000	9018289.000000	681.139653	205	229	191	38	1	267.315273	703.992576	0.703731
A549	PPP2R1A	120622	6	3	1075.096043	835.296875	2364	1856	508	187.093750	7556007.000000	631.034491	53	199	169	30	1	237.319049	536.471431	0.446806
A549	PPP2R1A	120622	6	4	1312.910130	1385.250000	2807	2151	656	217.187500	6710189.000000	482.747410	114	213	166	47	4	176.492033	727.727671	0.776585
A549	PPP2R1A	120622	7	1	997.648300	1185.640625	2466	1828	638	180.046875	7323760.000000	635.577541	91	198	152	46	1	270.273289	538.762344	0.539418
A549	PPP2R1A	120622	7	2	1407.894316	1035.437500	3108	2450	658	216.125000	6607514.000000	477.697658	110	216	164	52	2	368.882241	859.592674	1.029071
A549	PPP2R1A	120622	7	3	1216.083779	1233.781250	2322	1975	347	238.781250	6103427.000000	399.386664	93	190	162	28	0	0.000000	0.000000	0.000000
A549	PPP2R1A	120622	8	1	1685.468838	1817.625000	3097	2617	480	253.515625	6233732.000000	384.205362	143	213	189	24	1	325.027731	328.135919	0.527460
A549	PPP2R1A	120622	8	2	1774.843281	2109.640625	3439	3033	406	228.046875	5845952.000000	400.544844	85	266	229	37	3	334.519410	625.655519	0.682683
A549	PPP2R1A	120622	8	3	1051.323560	820.687500	2205	1761	444	190.437500	5779839.000000	474.223745	59	184	158	26	3	238.324130	991.599590	0.888082
A549	PPP2R1A	120622	8	4	1038.754328	738.390625	2387	1871	516	162.937500	4559327.000000	437.219697	27	220	181	39	2	325.776791	857.309829	0.922715
A549	PPP2R1A	120622	9	1	1686.912741	1011.359375	3083	2803	280	203.453125	6512081.000000	500.121419	181	198	181	17	0	0.000000	0.000000	0.000000
A549	PPP2R1A	120622	9	2	1717.103021	1324.750000	3129	2845	284	186.203125	4943813.000000	414.853822	28	164	145	19	0	0.000000	0.000000	0.000000
