cellType 	 gene 	 date 	 timePt 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 nucIntensityTotal 	 nucIntensityAvg 	numCyclin 	 totalRNA 	 cytoRNA 	 nucRNA 	numTxnSites 	 avgIntron 	 avgExon 	 numRnaPerTxnSiteAvgExon 
CRL2097_ActD	UBC	121130	0	1	1	4789.302194	5499.812500	5241	5217	24	10.734375	221943.000000	323.061135	2	1659	1651	8	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	0	2	1	1759.025171	2148.593750	2284	2135	149	201.734375	6125570.000000	474.445821	3	493	456	37	4	2245.999760	1364.118725	0.644670
CRL2097_ActD	UBC	121130	0	3	1	2223.726456	2660.437500	2979	2818	161	196.578125	4938776.000000	392.558302	5	721	665	56	4	2520.659796	1526.895383	1.007274
CRL2097_ActD	UBC	121130	0	4	1	1496.974413	2847.671875	2070	1987	83	266.156250	5908253.000000	346.850593	10	479	424	55	2	4732.286137	3420.481579	1.825553
CRL2097_ActD	UBC	121130	0	5	1	2279.543851	1806.796875	2877	2500	377	221.125000	9567218.000000	676.032928	338	1239	1102	137	5	1526.422758	1041.073873	0.615277
CRL2097_ActD	UBC	121130	0	6	1	3796.508126	4497.234375	3444	3302	142	270.546875	6694355.000000	386.621715	9	750	720	30	5	1751.747661	1601.055895	0.922075
CRL2097_ActD	UBC	121130	0	7	1	4986.902432	4663.390625	4115	3927	188	260.031250	5411669.000000	325.181408	6	1031	968	63	3	1958.765118	1881.395544	1.200958
CRL2097_ActD	UBC	121130	0	8	1	2164.958909	2326.515625	2045	1959	86	201.375000	4998985.000000	387.879035	4	465	446	19	1	2652.225913	2972.710159	1.982646
CRL2097_ActD	UBC	121130	0	8	2	2607.695116	2940.828125	2824	2687	137	195.500000	7259846.000000	580.230659	4	868	828	40	3	3186.674376	2559.608734	1.221426
CRL2097_ActD	UBC	121130	0	10	1	4036.246628	3359.093750	3827	3656	171	275.484375	5332409.000000	302.445068	2	788	749	39	2	2427.869068	1995.741865	1.270890
CRL2097_ActD	UBC	121130	0	11	1	4225.446494	6319.000000	5070	4922	148	310.125000	5600272.000000	282.158001	6	1139	1081	58	6	2115.157056	2360.951958	1.236959
CRL2097_ActD	UBC	121130	0	12	1	6356.356941	5238.609375	4672	4503	169	282.375000	5616637.000000	310.792220	8	1166	1120	46	2	8585.810970	6396.177441	3.856179
CRL2097_ActD	UBC	121130	0	13	1	2132.479133	2172.593750	2512	2359	153	206.609375	4828652.000000	365.170687	3	482	450	32	4	1527.222531	1407.452061	1.004407
CRL2097_ActD	UBC	121130	0	14	1	4348.311230	4654.000000	3374	3203	171	303.140625	5422057.000000	279.473068	1	843	768	75	3	3154.450819	3053.986988	2.257311
CRL2097_ActD	UBC	121130	0	15	1	1908.418790	2484.078125	2011	1913	98	230.187500	5218398.000000	354.221966	4	878	846	32	2	3087.060417	2585.346589	1.582263
CRL2097_ActD	UBC	121130	0	16	1	2577.264792	2560.234375	2747	2613	134	191.531250	5890550.000000	480.547398	5	638	586	52	2	7065.779866	5827.910470	2.699147
CRL2097_ActD	UBC	121130	0	16	2	2346.882612	2422.500000	2375	2230	145	195.734375	3981041.000000	317.796839	4	550	513	37	3	1627.459164	1062.989261	1.129303
CRL2097_ActD	UBC	121130	0	17	1	1957.446127	2339.390625	2234	2087	147	198.828125	7343667.000000	577.105462	123	741	704	37	1	5823.998252	5775.410422	4.028852
CRL2097_ActD	UBC	121130	0	18	1	2848.662982	3243.687500	2548	2468	80	220.984375	5463807.000000	386.325886	3	563	526	37	2	4962.951974	5837.592040	3.633454
CRL2097_ActD	UBC	121130	0	19	1	2075.469683	2207.093750	3233	3068	165	213.625000	9756960.000000	713.645407	227	845	784	61	4	2237.901478	3058.951677	1.851641
CRL2097_ActD	UBC	121130	0	20	1	2027.937698	3369.375000	2572	2435	137	257.265625	5492411.000000	333.580990	1	443	422	21	2	1779.062329	2546.812000	1.375952
CRL2097_ActD	UBC	121130	0	21	1	3106.511413	2571.359375	3251	3088	163	193.562500	4728873.000000	381.730142	4	708	649	59	3	2188.992811	1842.881507	1.313343
CRL2097_ActD	UBC	121130	0	22	1	5450.578435	3997.078125	4499	4331	168	350.000000	11490010.000000	512.946875	18	1000	918	82	3	4540.558669	3549.579415	2.561234
CRL2097_ActD	UBC	121130	0	23	1	2805.703427	2716.062500	2933	2809	124	234.671875	5664915.000000	377.183235	106	695	640	55	2	3105.721274	2449.323085	1.570056
CRL2097_ActD	UBC	121130	0	25	1	3204.124450	3781.125000	2293	2207	86	210.296875	5535898.000000	411.315700	3	878	838	40	3	3246.784702	3505.885047	2.039237
CRL2097_ActD	UBC	121130	0	26	1	3341.589280	3155.062500	2769	2580	189	252.296875	5405913.000000	334.793646	11	704	644	60	2	3312.567641	2456.127699	1.498920
CRL2097_ActD	UBC	121130	0	27	1	3643.137697	3741.328125	3286	3092	194	295.718750	10415574.000000	550.331502	181	1417	1370	47	1	3419.023067	3034.280901	2.100995
CRL2097_ActD	UBC	121130	0	28	1	4017.147364	4585.453125	3884	3736	148	320.500000	5911622.000000	288.203101	5	1208	1161	47	2	7409.499286	4848.570255	2.909826
CRL2097_ActD	UBC	121130	0	29	1	3099.028065	3503.875000	3685	3553	132	279.062500	10728746.000000	600.713662	169	1089	1017	72	3	4003.005514	4446.638228	2.487056
CRL2097_ActD	UBC	121130	0	30	1	3800.576415	4125.546875	2619	2529	90	326.875000	11117877.000000	531.447275	3	1063	1002	61	2	3575.789781	3038.635033	2.055809
