cellType 	 gene 	 date 	 timePt 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 nucIntensityTotal 	 nucIntensityAvg 	numCyclin 	 totalRNA 	 cytoRNA 	 nucRNA 	numTxnSites 	 avgIntron 	 avgExon 	 numRnaPerTxnSiteAvgExon 
CRL2097_ActD_SerumStarved	ZNF444	130327	0	1	1	1314.191744	2941.640625	1492	1385	107	217.937500	54649580.000000	3918.094350	9	7	6	1	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	2	1	1033.117041	1980.562500	1015	964	51	173.937500	51078465.000000	4588.435591	7	14	7	7	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	2	2	855.866995	1541.437500	998	902	96	160.734375	51568818.000000	5013.008457	3	10	9	1	1	327.432139	369.433444	0.469950
CRL2097_ActD_SerumStarved	ZNF444	130327	0	3	1	998.118707	2096.890625	1302	1225	77	151.671875	53130774.000000	5473.449469	1	13	10	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	4	1	1761.724379	4989.718750	1906	1794	112	276.953125	55754917.000000	3145.552440	5	21	16	5	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	5	1	1689.907097	3855.750000	1551	1455	96	271.171875	50399705.000000	2904.045232	10	26	21	5	1	520.061482	501.074106	0.600447
CRL2097_ActD_SerumStarved	ZNF444	130327	0	6	1	1630.500280	2607.968750	1468	1322	146	234.359375	47155009.000000	3143.876858	2	12	10	2	1	444.108778	952.813745	0.860220
CRL2097_ActD_SerumStarved	ZNF444	130327	0	6	2	1328.480060	2942.234375	1046	989	57	180.671875	43256588.000000	3740.948543	2	9	7	2	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	7	1	1491.471384	3066.531250	942	833	109	254.515625	46544724.000000	2857.432869	2	14	11	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	8	1	1513.518936	1695.812500	1398	1274	124	200.609375	45669826.000000	3557.117065	1	11	8	3	1	427.644060	779.645239	1.169289
CRL2097_ActD_SerumStarved	ZNF444	130327	0	9	1	1107.817110	3344.625000	914	813	101	223.046875	49467938.000000	3465.354676	1	13	10	3	1	530.757728	311.920282	0.396705
CRL2097_ActD_SerumStarved	ZNF444	130327	0	10	1	1270.662556	3030.453125	1209	1113	96	212.593750	45761986.000000	3363.368073	2	17	17	0	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	11	1	2952.271137	5428.484375	3308	3123	185	475.687500	192156364.000000	6311.797530	12	54	37	17	1	452.400809	462.149999	0.580452
CRL2097_ActD_SerumStarved	ZNF444	130327	0	12	1	1290.209330	3181.734375	1463	1337	126	248.968750	51251337.000000	3216.476528	6	18	12	6	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	13	1	1264.692060	2003.421875	972	926	46	196.015625	49331624.000000	3932.373376	4	11	9	2	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	14	1	2764.854187	4112.265625	2424	2276	148	268.250000	50441639.000000	2938.119699	2	18	12	6	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	15	1	1522.187831	2256.250000	1283	1190	93	299.906250	53796811.000000	2802.793112	4	17	10	7	1	311.984286	573.478460	0.702651
CRL2097_ActD_SerumStarved	ZNF444	130327	0	16	1	1079.670537	3153.703125	1465	1334	131	252.359375	53606021.000000	3319.052752	5	11	6	5	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	17	1	1121.147777	2346.546875	1204	1110	94	210.406250	46699674.000000	3467.969256	15	16	13	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	18	1	2759.738192	5451.500000	2348	2215	133	328.546875	51437181.000000	2446.244400	5	31	19	12	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	19	1	827.119841	2194.562500	757	694	63	203.109375	44130268.000000	3394.897146	3	17	13	4	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	20	1	1272.086957	2395.343750	935	857	78	245.125000	49966952.000000	3185.042835	7	8	4	4	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	20	2	1613.962406	2265.671875	1789	1576	213	267.015625	92791381.000000	5429.889461	13	21	15	6	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	21	1	1165.600799	2046.437500	1332	1260	72	209.593750	44779790.000000	3338.287610	13	16	12	4	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	21	2	1103.562329	1992.312500	1050	986	64	187.781250	46175034.000000	3842.156266	2	16	13	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	22	1	1492.485117	3886.375000	902	826	76	274.734375	52093429.000000	2962.715634	18	13	10	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	23	1	965.554258	2446.937500	1007	887	120	237.109375	45703537.000000	3011.765206	16	13	10	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	24	1	1407.990729	3663.968750	1443	1382	61	250.062500	50857598.000000	3177.805424	6	17	13	4	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	25	1	1464.617168	3082.718750	1292	1215	77	230.421875	51024973.000000	3460.023937	26	18	13	5	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	26	1	1493.159644	3772.828125	1251	1169	82	226.406250	49571571.000000	3421.088406	19	20	17	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	28	1	2137.966104	3015.968750	1298	1234	64	212.640625	46524764.000000	3418.676170	6	12	12	0	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	0	29	1	1293.267357	2179.875000	960	890	70	225.312500	46852741.000000	3249.149861	4	10	6	4	1	302.533149	511.599375	0.520195
CRL2097_ActD_SerumStarved	ZNF444	130327	0	30	1	1351.072432	2193.421875	1458	1384	74	209.171875	82727772.000000	6179.709569	62	12	8	4	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	4	2	1	1148.058354	2898.890625	1006	956	50	207.015625	38290191.000000	2890.043852	7	11	10	1	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	4	3	1	1371.937551	3143.843750	1309	1267	42	265.250000	46104738.000000	2715.877592	2	14	11	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	4	4	1	4082.444209	8685.875000	3158	3082	76	482.515625	93396434.000000	3024.397979	19	19	16	3	0	0.000000	0.000000	0.000000
CRL2097_ActD_SerumStarved	ZNF444	130327	4	5	1	1501.411674	2611.906250	1393	1336	57	249.937500	44793626.000000	2800.301700	3	18	11	7	1	437.749650	710.488812	1.090686
CRL2097_ActD_SerumStarved	ZNF444	130327	4	5	2	1163.605611	2984.812500	1149	1106	43	244.531250	42110966.000000	2690.796550	5	7	5	2	1	536.044451	573.066405	0.220748
