cellType 	 gene 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 nucIntensityTotal 	 nucIntensityAvg 	numCyclin 	 totalRNA 	 cytoRNA 	 nucRNA 	numTxnSites 	 avgIntron 	 avgExon 	 numRnaPerTxnSiteAvgExon 
CRL2097	EEF2	120501	1	1	2701.728817	2475.250000	2706	2579	127	244.609375	13019038.000000	831.621718	6	956	893	63	1	1322.048649	3415.201492	3.997477
CRL2097	EEF2	120501	2	1	3191.062796	3568.609375	3896	3613	283	295.390625	28105880.000000	1486.690294	187	1291	1211	80	2	1156.095080	2154.807688	1.804323
CRL2097	EEF2	120501	3	1	1310.284332	1682.078125	1948	1799	149	188.468750	12727517.000000	1055.174681	15	871	821	50	2	1325.807997	1247.256734	1.088945
CRL2097	EEF2	120501	3	2	2667.370626	3426.109375	3714	3576	138	264.921875	20640753.000000	1217.384429	383	1287	1243	44	1	750.208475	2264.936319	1.917254
CRL2097	EEF2	120501	4	1	2126.453426	1632.984375	1901	1647	254	259.843750	9702296.000000	583.421287	3	744	666	78	2	653.576714	1284.282932	1.676983
CRL2097	EEF2	120501	4	2	2919.201317	3479.937500	3790	3610	180	284.187500	18169069.000000	998.959149	2	1332	1270	62	1	692.340284	1165.120807	0.963156
CRL2097	EEF2	120501	5	1	1480.746377	1551.031250	1955	1835	120	176.750000	7720914.000000	682.541902	7	828	791	37	2	740.549695	1751.532385	2.069995
CRL2097	EEF2	120501	5	2	2312.853581	2809.015625	2764	2630	134	179.859375	10497307.000000	911.937017	10	1006	942	64	2	578.528871	1161.615431	1.098239
CRL2097	EEF2	120501	6	2	1186.405154	1279.406250	1711	1603	108	172.453125	13223773.000000	1198.131104	7	616	584	32	2	814.597925	2275.706168	1.828545
CRL2097	EEF2	120501	6	3	2550.178883	2891.328125	2902	2788	114	225.281250	11692916.000000	810.994313	1	1349	1295	54	0	0.000000	0.000000	0.000000
CRL2097	EEF2	120501	7	1	4859.566225	6582.046875	5577	5373	204	401.250000	30330831.000000	1181.107126	12	2250	2149	101	2	1007.822290	2244.701837	2.298968
CRL2097	EEF2	120501	8	1	2467.652869	3417.515625	2956	2842	114	247.453125	10496803.000000	662.802488	17	1157	1116	41	2	874.912520	1999.783849	2.297122
CRL2097	EEF2	120501	8	2	4391.366243	5445.250000	4775	4640	135	313.109375	20634950.000000	1029.739508	7	1932	1870	62	1	1581.043421	4181.963240	3.687623
CRL2097	EEF2	120501	9	1	1416.058953	1894.906250	1876	1790	86	192.796875	12801107.000000	1037.450928	60	777	730	47	2	1537.494257	3181.470896	2.915915
CRL2097	EEF2	120501	10	1	1322.094148	1744.687500	2253	2112	141	179.140625	16140944.000000	1407.845094	3	961	903	58	3	975.964587	2118.883455	1.717071
CRL2097	EEF2	120501	10	2	1738.330554	1943.687500	2361	2218	143	314.328125	26656675.000000	1325.082020	138	974	914	60	1	2168.742484	4010.606698	3.429615
CRL2097	EEF2	120501	11	1	1687.242524	3136.187500	2300	2162	138	219.859375	10953245.000000	778.426906	6	1016	961	55	2	792.006323	1120.903862	1.194323
CRL2097	EEF2	120501	12	1	1838.553175	2686.859375	2835	2671	164	261.218750	16666869.000000	996.941560	103	1236	1173	63	1	4171.979776	7452.189995	5.861334
CRL2097	EEF2	120501	13	2	1005.207262	1486.828125	1757	1602	155	193.296875	11987958.000000	969.037103	120	830	784	46	3	822.931918	2116.946912	2.866554
CRL2097	EEF2	120501	14	1	3594.875908	8013.187500	4926	4684	242	311.812500	13850124.000000	694.033073	1	2027	1941	86	3	929.079256	1437.312786	1.565964
CRL2097	EEF2	120501	15	1	3260.172037	1831.578125	2957	2954	3	2.921875	43819.000000	234.326203	182	601	600	1	0	0.000000	0.000000	0.000000
CRL2097	EEF2	120501	15	2	2346.452988	1812.812500	3032	2862	170	304.937500	25058941.000000	1284.020342	210	1364	1292	72	2	632.804218	1354.227051	1.416690
CRL2097	EEF2	120501	16	1	1549.420134	1945.718750	2193	2066	127	193.296875	11710887.000000	946.640288	2	613	566	47	1	1140.395617	2121.881191	1.893773
CRL2097	EEF2	120501	16	2	1752.644743	2030.125000	2481	2357	124	219.562500	9642056.000000	686.169656	6	903	864	39	1	1026.006392	1808.580419	2.394527
CRL2097	EEF2	120501	17	1	1769.647962	2759.093750	2158	2029	129	219.171875	13754098.000000	980.544521	7	758	708	50	1	1206.343390	2347.309846	2.365822
CRL2097	EEF2	120501	17	2	3922.169913	4324.437500	3981	3602	379	224.109375	12917117.000000	900.586837	4	1444	1299	145	1	758.179248	899.609327	1.037076
CRL2097	EEF2	120501	18	1	2624.301504	2642.203125	3176	2860	316	200.859375	12027409.000000	935.621081	15	1080	986	94	2	1419.787917	1477.617061	1.389403
CRL2097	EEF2	120501	19	1	3599.918736	6201.796875	5167	4831	336	285.046875	14003628.000000	767.616510	6	1809	1714	95	3	858.129373	1566.246080	1.550772
CRL2097	EEF2	120501	20	1	2379.058424	3462.125000	2498	2382	116	276.765625	13065401.000000	737.616496	11	1082	1031	51	1	1031.539352	1662.875737	1.810734
CRL2097	EEF2	120501	20	2	2002.966392	2782.921875	1945	1841	104	232.125000	8360888.000000	562.795369	5	920	874	46	0	0.000000	0.000000	0.000000
CRL2097	EEF2	120501	20	3	3537.390811	3730.843750	3190	3074	116	325.718750	24670741.000000	1183.476015	90	1234	1180	54	3	799.789697	848.715658	0.781415
CRL2097	EEF2	120501	21	1	4617.690372	3530.328125	4250	4015	235	401.078125	30012952.000000	1169.229499	506	1802	1693	109	1	2124.967229	2888.310404	2.807733
CRL2097	EEF2	120501	22	1	1620.126806	1049.390625	1840	1746	94	175.828125	12732050.000000	1131.436061	308	921	871	50	2	362.902186	784.586747	1.405603
CRL2097	EEF2	120501	22	2	1023.708884	1466.812500	1703	1611	92	153.484375	14957204.000000	1522.671689	1	533	504	29	2	1317.418690	1682.275890	1.262054
CRL2097	EEF2	120501	22	3	899.226804	841.406250	1289	1142	147	131.375000	14959673.000000	1779.218958	3	374	337	37	0	0.000000	0.000000	0.000000
CRL2097	EEF2	120501	23	1	3171.458238	5084.515625	3619	3436	183	355.875000	22769492.000000	999.714261	302	1347	1289	58	2	982.877946	2757.147025	3.308095
CRL2097	EEF2	120501	24	1	2951.319754	4429.984375	3306	3148	158	216.390625	11373646.000000	821.261174	3	1189	1146	43	2	891.521192	2011.177858	1.844109
CRL2097	EEF2	120501	25	1	2472.350664	2527.750000	3427	3242	185	316.546875	14582253.000000	719.791352	233	1218	1137	81	2	952.256331	2073.404950	2.332349
CRL2097	EEF2	120501	26	1	4864.827570	6422.984375	3928	3768	160	326.031250	14612394.000000	700.296847	199	1721	1651	70	2	1568.382017	3452.253936	2.961358
CRL2097	EEF2	120501	27	1	1339.759236	1306.187500	2442	2040	402	171.718750	24644469.000000	2242.444859	107	897	771	126	0	0.000000	0.000000	0.000000
CRL2097	EEF2	120501	27	2	1489.496999	1847.578125	2581	2442	139	230.171875	18210361.000000	1236.193130	242	882	831	51	1	885.995254	1487.544378	1.549375
CRL2097	SLC1A5	120531	1	1	989.304966	1976.125000	1135	1075	60	182.984375	13539439.000000	1156.130049	8	114	105	9	1	484.908357	1217.160349	1.224567
CRL2097	SLC1A5	120531	3	1	1381.474072	2678.890625	1784	1676	108	232.500000	15990619.000000	1074.638374	77	239	214	25	0	0.000000	0.000000	0.000000
CRL2097	SLC1A5	120531	4	1	2818.367898	2988.218750	3037	2901	136	247.531250	18949776.000000	1196.173210	151	155	138	17	2	607.799556	967.643009	0.827678
CRL2097	SLC1A5	120531	5	1	2150.076284	3360.296875	1756	1641	115	241.593750	12738985.000000	823.889859	31	212	199	13	0	0.000000	0.000000	0.000000
CRL2097	SLC1A5	120531	6	1	1204.694353	1470.328125	1252	1048	204	164.562500	9369336.000000	889.606532	22	142	106	36	0	0.000000	0.000000	0.000000
