cellType 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 dapiIntensityTotal 	 dapiIntensityAvg 	clickIntensityTotal 	 clickIntensityAvg 	numCyclin 
ClickiT	130118	1	1	1973.912331	3458.562500	1920	1750	170	263.718750	69939427.000000	4143.821958	201051575.000000	11912.049710	13
ClickiT	130118	2	1	1685.722363	2840.921875	2350	2122	228	220.750000	58545877.000000	4143.960716	146759037.000000	10387.814057	12
ClickiT	130118	3	1	1883.184333	2468.515625	2282	2144	138	186.921875	58736189.000000	4909.821032	164893621.000000	13783.634623	15
ClickiT	130118	4	1	3064.721202	3720.796875	2621	2420	201	372.140625	67041212.000000	2814.847042	449553524.000000	18875.321157	12
ClickiT	130118	5	1	1899.453192	3260.875000	1840	1729	111	298.796875	102486164.000000	5359.314124	300097467.000000	15693.011923	1
ClickiT	130118	6	1	1494.615664	1906.187500	1471	1324	147	261.000000	92542137.000000	5540.118355	336944344.000000	20171.476533	116
ClickiT	130118	7	1	2853.759850	3698.109375	2800	2658	142	246.093750	61500255.000000	3904.778095	326297398.000000	20717.295111	42
ClickiT	130118	8	1	2777.572866	3573.265625	3005	2821	184	231.750000	60815215.000000	4100.270698	204315275.000000	13775.301713	15
ClickiT	130118	9	1	1683.666324	2782.296875	1912	1724	188	332.484375	124100015.000000	5832.041684	456084886.000000	21433.567649	151
ClickiT	130118	10	1	1686.944921	2578.890625	2294	2161	133	186.046875	59158590.000000	4968.387503	92809647.000000	7794.544974	11
ClickiT	130118	11	1	1613.764870	3130.171875	1892	1750	142	235.968750	61587760.000000	4078.119454	240003124.000000	15892.141703	11
ClickiT	130118	12	1	1954.462763	4066.875000	2653	2476	177	229.718750	64736214.000000	4403.225003	215143357.000000	14633.611549	14
ClickiT	130118	13	1	2297.603682	3913.609375	2901	2566	335	325.828125	123828831.000000	5938.178248	444409337.000000	21311.530092	209
ClickiT	130118	14	1	1959.993595	3420.187500	2221	2063	158	334.718750	101378547.000000	4732.450145	419763067.000000	19594.952245	117
ClickiT	130118	15	1	1611.789832	2569.703125	1328	1214	114	215.109375	62087825.000000	4509.902303	142780494.000000	10371.213336	2
ClickiT	130118	16	1	1204.939282	1147.531250	1747	1562	185	158.234375	60727283.000000	5996.571838	215849167.000000	21314.226029	66
ClickiT	130118	17	1	3101.266689	2577.937500	2937	2751	186	297.453125	118269447.000000	6212.609497	354395222.000000	18616.127646	304
ClickiT	130118	18	1	2503.612380	3419.984375	2473	2318	155	256.265625	61457968.000000	3747.208585	151145845.000000	9215.648131	105
ClickiT	130118	19	1	1182.659697	2150.968750	1435	1309	126	268.343750	80316937.000000	4676.658728	369912689.000000	21539.110807	99
ClickiT	130118	20	1	1853.890802	3035.890625	1831	1674	157	256.296875	65395535.000000	3986.803329	221649122.000000	13512.718527	4
ClickiT	130118	21	1	1215.960354	1737.890625	1301	1173	128	228.656250	87568890.000000	5983.933989	333410479.000000	22783.277231	64
ClickiT	130118	22	1	1622.341118	2504.703125	1685	1540	145	241.171875	60063354.000000	3891.373761	172279862.000000	11161.636670	5
ClickiT	130118	23	1	3118.704666	3665.640625	2440	2332	108	225.390625	57420943.000000	3980.654627	366670273.000000	25419.083050	3
ClickiT	130118	24	1	1476.232593	2123.812500	2117	1893	224	241.406250	111504920.000000	7217.146926	355916867.000000	23036.690421	127
ClickiT	130118	25	1	2293.059818	4393.078125	3035	2824	211	291.640625	64181459.000000	3438.599464	321523458.000000	17226.009001	9
ClickiT	130118	26	1	1874.455904	2198.328125	2011	1863	148	226.187500	59121258.000000	4084.088008	236342785.000000	16326.525629	7
ClickiT	130118	27	1	2295.451380	1775.812500	2163	1960	203	249.734375	59489007.000000	3722.017581	274758887.000000	17190.695552	22
ClickiT	130118	28	1	2538.420622	4223.281250	2844	2596	248	306.218750	122394021.000000	6245.230177	457870798.000000	23363.138994	233
ClickiT	130118	29	1	2226.810101	3473.062500	2651	2467	184	324.906250	100465104.000000	4831.446763	494703660.000000	23790.692507	113
ClickiT	130118	30	1	1283.060096	1818.703125	1203	1101	102	189.078125	58107578.000000	4801.882324	105337189.000000	8704.833402	8
ClickiT	130118	31	1	1692.299848	2988.625000	1588	1459	129	236.484375	60887567.000000	4022.964453	288066849.000000	19033.158176	13
ClickiT	130118	32	1	1138.513362	1432.375000	1456	1306	150	233.500000	99480559.000000	6656.889655	336216779.000000	22498.446132	115
ClickiT	130118	33	1	2419.867413	3301.937500	2463	2304	159	238.078125	58659682.000000	3849.818337	293927906.000000	19290.405329	80
ClickiT	130118	34	1	4049.783884	5277.656250	4600	4383	217	320.984375	62065130.000000	3021.230103	346480071.000000	16866.089227	4
ClickiT	130118	35	1	1233.272706	2167.375000	1796	1583	213	250.062500	68882054.000000	4304.052362	328410583.000000	20520.531305	120
ClickiT	130219	1	1	2972.902298	3509.984375	3081	2852	229	216.843750	16771834.000000	1208.519527	200187035.000000	14424.775544	6
