cellType 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 dapiIntensityTotal 	 dapiIntensityAvg 	clickIntensityTotal 	 clickIntensityAvg 	numCyclin 
ClickiT_SerumStarved	121113	1	1	1294.450999	3795.703125	2552	2141	411	230.421875	77359973.000000	5245.810877	35240240.000000	2389.654845	10
ClickiT_SerumStarved	121113	2	1	582.227246	3271.484375	758	609	149	177.671875	63783653.000000	5609.326620	26640215.000000	2342.820772	98
ClickiT_SerumStarved	121113	3	1	632.047420	4330.296875	1122	888	234	200.625000	74753870.000000	5821.952492	21272053.000000	1656.701947	32
ClickiT_SerumStarved	121113	4	1	985.693349	2807.203125	1197	963	234	186.343750	71886362.000000	6027.700989	14759316.000000	1237.574711	15
ClickiT_SerumStarved	121113	4	2	640.260643	3029.750000	822	652	170	225.968750	70924342.000000	4904.186281	13061942.000000	903.190568	6
ClickiT_SerumStarved	121113	4	3	879.769086	1613.625000	1264	892	372	204.421875	57509822.000000	4395.767179	13601090.000000	1039.600245	3
ClickiT_SerumStarved	121113	5	1	1455.790320	4559.859375	1901	1715	186	267.125000	73111929.000000	4276.551766	40025682.000000	2341.230814	15
ClickiT_SerumStarved	121113	6	1	362.662877	1904.515625	691	538	153	228.703125	71289473.000000	4870.497575	16292229.000000	1113.085263	7
ClickiT_SerumStarved	121113	6	2	667.144038	3240.796875	950	742	208	278.984375	82505528.000000	4620.864072	19188991.000000	1074.712461	7
ClickiT_SerumStarved	121113	7	1	1797.953805	6511.171875	2837	2643	194	253.187500	85527608.000000	5278.178721	46251123.000000	2854.302826	9
ClickiT_SerumStarved	121113	8	1	959.959867	4531.578125	724	469	255	239.937500	73535888.000000	4788.739776	27136654.000000	1767.169445	26
ClickiT_SerumStarved	121113	9	1	741.736823	3533.890625	1190	775	415	222.078125	66561800.000000	4683.163301	16618833.000000	1169.269894	16
ClickiT_SerumStarved	121113	10	1	797.311299	5749.484375	1190	1013	177	213.609375	59368436.000000	4342.654963	15502886.000000	1133.997952	7
ClickiT_SerumStarved	121113	11	1	528.051295	4651.625000	737	599	138	170.140625	60941306.000000	5596.593443	13208303.000000	1212.995041	7
ClickiT_SerumStarved	121113	12	1	851.905722	5832.359375	1465	1242	223	265.765625	72661254.000000	4271.929802	18220103.000000	1071.203657	12
ClickiT_SerumStarved	121113	13	1	833.420063	4608.687500	1292	1068	224	215.390625	74050994.000000	5371.853029	20049730.000000	1454.459920	4
ClickiT_SerumStarved	121113	14	1	392.130398	1533.375000	593	363	230	163.843750	48859044.000000	4659.454892	19770392.000000	1885.408354	4
ClickiT_SerumStarved	121113	14	2	1356.503795	4395.078125	1969	1633	336	287.015625	74481263.000000	4054.726060	47899182.000000	2607.609668	11
ClickiT_SerumStarved	121113	15	1	870.334809	4061.343750	1160	880	280	255.718750	76556843.000000	4677.798057	30212977.000000	1846.081938	53
ClickiT_SerumStarved	121113	16	1	593.335195	3722.484375	903	712	191	186.703125	59652231.000000	4992.236254	16014382.000000	1340.227801	16
ClickiT_SerumStarved	121113	17	1	947.725135	4889.875000	880	751	129	258.625000	63549793.000000	3839.402670	48001605.000000	2900.048635	209
ClickiT_SerumStarved	121113	18	1	1348.619465	4245.156250	1733	1526	207	233.562500	63370140.000000	4239.372491	18179353.000000	1216.172933	8
ClickiT_SerumStarved	121113	19	1	958.540425	4364.937500	1253	1018	235	261.671875	64940416.000000	3877.734281	45480594.000000	2715.745746	18
ClickiT_SerumStarved	121113	20	1	1129.268491	6398.078125	1991	1798	193	284.218750	72132642.000000	3965.510830	47442505.000000	2608.164101	19
ClickiT_SerumStarved	121113	21	1	728.832839	3828.812500	987	808	179	183.453125	68306170.000000	5817.747211	9377405.000000	798.688783	14
ClickiT_SerumStarved	121113	22	1	702.354951	6552.687500	975	831	144	216.390625	72841161.000000	5259.669362	56317090.000000	4066.509495	48
ClickiT_SerumStarved	121113	23	1	2795.906131	7914.468750	4344	3839	505	399.312500	147978204.000000	5790.350759	81883362.000000	3204.075833	9
ClickiT_SerumStarved	121113	24	1	747.892821	4248.328125	1365	1126	239	243.281250	68744386.000000	4415.182145	9034266.000000	580.235453	10
ClickiT_SerumStarved	121113	25	1	1491.734627	4801.875000	1094	877	217	265.500000	57292870.000000	3371.755532	35400456.000000	2083.360169	18
ClickiT_SerumStarved	121113	26	1	1026.625140	3318.718750	1122	966	156	208.546875	60767325.000000	4552.882670	47774889.000000	3579.447741	91
ClickiT_SerumStarved	121113	26	2	1642.594956	5306.390625	1593	1434	159	278.265625	63119950.000000	3544.272559	71294103.000000	4003.262564	9
ClickiT_SerumStarved	121113	27	1	1262.939526	4319.687500	1220	1048	172	249.453125	64553325.000000	4043.427811	39114819.000000	2450.035640	27
ClickiT_SerumStarved	121113	28	1	1528.630135	4812.765625	1789	1604	185	223.906250	57589366.000000	4018.797348	67464515.000000	4707.921493	7
ClickiT_SerumStarved	121113	29	1	556.712635	3127.625000	843	698	145	215.625000	76793365.000000	5564.736594	23098246.000000	1673.785942	7
ClickiT_SerumStarved	121113	30	1	825.700316	3476.156250	1103	933	170	224.437500	57784452.000000	4022.866332	44167457.000000	3074.871693	7
ClickiT_SerumStarved	121113	31	1	870.439435	2484.515625	1067	951	116	177.156250	66776305.000000	5889.601782	33699240.000000	2972.238490	5
ClickiT_SerumStarved	121113	32	1	1301.071233	5019.718750	1491	1271	220	220.625000	78569502.000000	5564.412323	33335753.000000	2360.889023	6
ClickiT_SerumStarved	121113	33	1	1600.703095	3397.375000	1513	1205	308	241.468750	69641324.000000	4506.362366	25259150.000000	1634.473276	3
ClickiT_SerumStarved	130116	1	1	1069.807266	3566.046875	1763	1529	234	317.890625	43704077.000000	2148.148292	183485470.000000	9018.700909	10
ClickiT_SerumStarved	130116	2	1	1294.916519	3610.828125	2536	2292	244	379.140625	83968394.000000	3460.473686	199261797.000000	8211.901793	3
ClickiT_SerumStarved	130116	3	1	469.910298	2068.890625	1436	1330	106	199.968750	42032573.000000	3284.307939	141066938.000000	11022.576809	9
ClickiT_SerumStarved	130116	4	1	527.259760	1841.625000	1002	901	101	198.187500	41536186.000000	3274.691422	138587079.000000	10926.133633	12
ClickiT_SerumStarved	130116	5	1	1909.040900	5279.203125	3696	3332	364	454.812500	81278629.000000	2792.312388	353762433.000000	12153.443486	2
ClickiT_SerumStarved	130116	6	1	733.544361	3912.921875	1235	1077	158	325.468750	46973240.000000	2255.076332	164152381.000000	7880.575180	13
ClickiT_SerumStarved	130116	7	1	927.667768	2544.671875	1921	1767	154	229.468750	42239673.000000	2876.186368	141344799.000000	9624.458600	2
ClickiT_SerumStarved	130116	7	2	413.672417	1828.578125	1109	982	127	188.640625	40028180.000000	3315.512300	99745383.000000	8261.855628	5
ClickiT_SerumStarved	130116	8	1	900.348429	2016.015625	1353	1197	156	266.625000	41015601.000000	2403.633439	130474641.000000	7646.193214	4
ClickiT_SerumStarved	130116	9	1	598.824133	2691.578125	1549	1407	142	207.093750	39877333.000000	3008.701750	135741491.000000	10241.549042	7
ClickiT_SerumStarved	130116	10	1	846.234044	2804.984375	1717	1552	165	264.437500	45981160.000000	2716.920350	208930212.000000	12345.202789	1
ClickiT_SerumStarved	130116	10	2	1174.413329	2976.437500	1969	1833	136	244.890625	43469516.000000	2773.528744	154899222.000000	9883.189051	6
ClickiT_SerumStarved	130116	11	1	942.529051	2692.078125	1449	1321	128	270.000000	41192878.000000	2383.847106	162379876.000000	9396.983565	9
ClickiT_SerumStarved	130116	11	2	1093.688567	1874.187500	1972	1780	192	265.187500	67765553.000000	3992.785352	267612475.000000	15767.880922	199
ClickiT_SerumStarved	130116	12	1	980.697090	1983.578125	1389	1233	156	183.812500	37396888.000000	3178.926216	66978657.000000	5693.527457	2
ClickiT_SerumStarved	130116	12	2	1707.499362	3175.484375	2436	2094	342	308.531250	43720111.000000	2214.124937	166850348.000000	8449.830244	4
ClickiT_SerumStarved	130116	13	1	1529.076779	3694.953125	2136	1916	220	254.078125	44081155.000000	2710.851424	194369821.000000	11953.128405	6
ClickiT_SerumStarved	130116	14	1	949.449880	2529.234375	1222	808	414	399.453125	78374981.000000	3065.714101	97075458.000000	3797.201565	9
ClickiT_SerumStarved	130116	15	1	743.783351	2638.875000	1276	1143	133	210.156250	41415872.000000	3079.246989	133595772.000000	9932.771152	6
ClickiT_SerumStarved	130116	15	2	1002.383884	1582.578125	1623	1491	132	202.000000	37706494.000000	2916.653311	98804271.000000	7642.657101	6
ClickiT_SerumStarved	130116	16	1	686.642829	2795.234375	1194	1071	123	229.406250	43308286.000000	2949.753848	110276826.000000	7511.022068	2
ClickiT_SerumStarved	130116	17	1	1346.187038	3125.015625	1993	1816	177	327.203125	61880317.000000	2954.983859	231295132.000000	11045.085335	150
ClickiT_SerumStarved	130116	18	1	2437.847646	3673.187500	2471	2259	212	352.734375	41218462.000000	1825.845493	152977912.000000	6776.430210	7
ClickiT_SerumStarved	130116	18	2	498.596957	1660.937500	1246	1116	130	185.703125	40484212.000000	3406.328313	86622418.000000	7288.381826	2
ClickiT_SerumStarved	130116	19	1	773.785884	2037.921875	1485	1357	128	231.000000	72060022.000000	4874.189800	210440347.000000	14234.330831	201
ClickiT_SerumStarved	130116	20	1	870.190678	2259.546875	1460	1321	139	211.640625	37027836.000000	2733.690365	100743905.000000	7437.719085	2
ClickiT_SerumStarved	130116	21	1	1012.894666	2918.703125	1496	1321	175	236.609375	39230984.000000	2590.700918	101099681.000000	6676.331044	2
ClickiT_SerumStarved	130116	22	1	638.960937	1844.843750	1084	956	128	193.468750	37234566.000000	3007.152802	103708562.000000	8375.752059	1
ClickiT_SerumStarved	130116	23	1	471.836051	1470.843750	938	813	125	209.421875	38969067.000000	2907.488398	105134451.000000	7844.098411	1
ClickiT_SerumStarved	130116	23	2	791.504786	2980.953125	1549	1399	150	226.406250	41761232.000000	2882.072602	127099883.000000	8771.558523	3
ClickiT_SerumStarved	130116	24	1	1044.300143	3693.656250	1960	1813	147	268.546875	40463021.000000	2354.280619	167498761.000000	9745.665968	7
ClickiT_SerumStarved	130116	25	1	1095.369662	4615.765625	2116	1994	122	268.312500	40319529.000000	2347.980957	153311842.000000	8928.013161	4
ClickiT_SerumStarved	130116	26	1	971.257099	4335.953125	2207	2050	157	267.156250	39966827.000000	2337.514739	172027636.000000	10061.272430	9
ClickiT_SerumStarved	130116	27	1	1456.581799	3763.734375	1772	1631	141	245.062500	37258712.000000	2375.587350	82195422.000000	5240.718057	6
ClickiT_SerumStarved	130116	28	1	1816.235743	4225.000000	2858	2610	248	252.406250	74770204.000000	4628.587594	201738696.000000	12488.467005	188
ClickiT_SerumStarved	130116	29	1	1850.453118	2937.484375	2166	1981	185	234.875000	38154783.000000	2538.237294	125197776.000000	8328.750399	6
ClickiT_SerumStarved	130116	30	1	1114.543871	2557.500000	1883	1727	156	220.812500	39014951.000000	2760.752264	140419512.000000	9936.280215	6
ClickiT_SerumStarved	130116	30	2	984.376765	2294.796875	1797	1673	124	186.968750	36044059.000000	3012.206167	125000594.000000	10446.314056	8
ClickiT_SerumStarved	130116	31	1	2728.771450	4874.593750	3553	3326	227	323.359375	78158647.000000	3776.692293	201056910.000000	9715.240879	7
ClickiT_SerumStarved	130116	32	1	1668.255627	3500.843750	2153	1992	161	237.203125	41071364.000000	2705.445228	134426467.000000	8854.915157	8
ClickiT_SerumStarved	130116	33	1	814.780558	1807.109375	1030	942	88	217.781250	42320181.000000	3036.316616	144776374.000000	10387.169895	9
ClickiT_SerumStarved	130116	33	2	1563.961582	2175.093750	2306	2155	151	230.171875	38627356.000000	2622.181522	140560520.000000	9541.817935	14
ClickiT_SerumStarved	130116	34	1	1896.399708	3149.171875	2084	1912	172	266.062500	40093237.000000	2354.547627	144195884.000000	8468.163261	7
ClickiT_SerumStarved	130116	35	1	1552.268677	2801.218750	1831	1620	211	289.953125	42092107.000000	2268.260333	147515373.000000	7949.311473	14
ClickiT_SerumStarved	130116	36	1	1351.211184	2275.671875	1847	1726	121	252.515625	40391686.000000	2499.330858	111404797.000000	6893.434627	5
ClickiT_SerumStarved	130116	36	2	825.669963	1878.796875	1140	1022	118	181.593750	34979151.000000	3009.735932	75764783.000000	6519.083032	2
ClickiT_SerumStarved	130116	37	1	2075.390690	3669.031250	2380	2209	171	285.140625	38600712.000000	2115.223410	120677849.000000	6612.847225	4
ClickiT_SerumStarved	130116	38	1	2785.175738	4926.812500	3605	3346	259	377.328125	78560446.000000	3253.155245	273456996.000000	11323.739948	10
ClickiT_SerumStarved	130116	39	1	3792.933983	7077.843750	5412	4989	423	363.109375	44571532.000000	1917.962563	238874649.000000	10279.041654	15
ClickiT_SerumStarved	130116	40	1	1399.393868	3381.593750	2234	2029	205	259.562500	42104843.000000	2534.604081	154930170.000000	9326.400795	9
ClickiT_SerumStarved	130116	41	1	2596.484645	4096.031250	2587	2343	244	291.968750	38611020.000000	2066.307396	182549017.000000	9769.293428	3
ClickiT_SerumStarved	130116	42	1	2429.910194	7032.062500	2985	2726	259	336.765625	44851070.000000	2080.966455	209888175.000000	9738.234816	1
ClickiT_SerumStarved	130405	1	1	799.492642	1217.203125	827	635	192	192.265625	79855230.000000	6489.657050	71745404.000000	5830.589516	7
ClickiT_SerumStarved	130405	2	1	2547.641588	3700.046875	2529	2176	353	276.656250	84074476.000000	4748.360782	267524911.000000	15109.279962	21
ClickiT_SerumStarved	130405	3	1	1437.559995	2305.093750	1746	1419	327	243.546875	86410612.000000	5543.761596	200251800.000000	12847.359979	9
ClickiT_SerumStarved	130405	4	1	1207.791107	2137.812500	1308	1045	263	253.578125	84291945.000000	5193.908744	259379184.000000	15982.450182	9
ClickiT_SerumStarved	130405	5	1	1374.186331	2845.406250	1358	1090	268	266.625000	96225714.000000	5639.106540	147301019.000000	8632.267874	6
ClickiT_SerumStarved	130405	6	1	1077.398190	2665.156250	1883	1683	200	225.906250	89776571.000000	6209.473717	141664502.000000	9798.347074	15
ClickiT_SerumStarved	130405	7	1	877.923117	2088.000000	914	734	180	211.500000	85699391.000000	6331.219784	166685064.000000	12314.203901	6
ClickiT_SerumStarved	130405	7	2	468.423045	1068.390625	596	388	208	169.484375	72962418.000000	6726.506684	96414686.000000	8888.603854	7
ClickiT_SerumStarved	130405	8	1	953.264694	2669.234375	1096	842	254	297.843750	170686822.000000	8954.297660	173055410.000000	9078.554716	7
ClickiT_SerumStarved	130405	9	1	1967.650578	3624.265625	2022	1701	321	230.468750	85970571.000000	5828.513288	242329871.000000	16429.143797	16
ClickiT_SerumStarved	130405	10	1	1225.013671	4833.078125	1478	1324	154	285.531250	92016837.000000	5035.396574	338339454.000000	18514.799934	10
ClickiT_SerumStarved	130405	11	1	1926.306403	4506.750000	2501	2197	304	288.343750	127641097.000000	6916.717080	542164813.000000	29379.257234	129
ClickiT_SerumStarved	130405	12	1	1173.807796	2266.046875	1161	890	271	273.984375	89826509.000000	5122.697975	158874539.000000	9060.424237	5
ClickiT_SerumStarved	130405	14	1	1162.246738	2048.171875	1143	941	202	210.765625	84654125.000000	6275.789532	137165426.000000	10168.687523	5
ClickiT_SerumStarved	130405	14	2	1234.970692	2726.125000	1371	1163	208	207.046875	77145877.000000	5821.890952	161633605.000000	12197.842050	17
ClickiT_SerumStarved	130405	15	1	818.589420	2415.015625	704	585	119	177.609375	74294341.000000	6535.967362	148706408.000000	13082.291546	17
ClickiT_SerumStarved	130405	16	1	1474.624488	2916.187500	1927	1707	220	235.890625	78710423.000000	5213.646619	156932727.000000	10394.961052	27
ClickiT_SerumStarved	130405	17	1	860.754808	2023.828125	1086	861	225	212.953125	71811877.000000	5269.049600	142709068.000000	10470.985986	15
ClickiT_SerumStarved	130405	17	2	834.716030	2062.015625	1197	1040	157	186.031250	75454548.000000	6337.522930	163601703.000000	13741.113976	5
ClickiT_SerumStarved	130405	18	1	2108.038028	4042.687500	2493	2089	404	395.125000	169869738.000000	6717.405014	548066938.000000	21673.004508	60
ClickiT_SerumStarved	130405	19	1	1322.366704	3051.687500	1876	1664	212	233.531250	89663575.000000	5999.168674	113968224.000000	7625.332798	14
ClickiT_SerumStarved	130405	20	1	609.764660	2327.781250	685	562	123	179.015625	77752554.000000	6786.467138	90645099.000000	7911.765645	8
ClickiT_SerumStarved	130405	21	1	694.192656	2510.265625	944	812	132	179.437500	80802592.000000	7036.101707	208906304.000000	18191.074887	27
ClickiT_SerumStarved	130405	22	1	1699.843307	2880.453125	1640	1433	207	241.156250	92671291.000000	6004.359920	205832738.000000	13336.318388	15
ClickiT_SerumStarved	130405	23	1	1349.725565	3579.328125	1249	1104	145	243.656250	87887783.000000	5635.999936	232690431.000000	14921.792420	4
ClickiT_SerumStarved	130405	24	1	1444.743240	2406.468750	2006	1798	208	227.687500	90291447.000000	6196.228864	489940069.000000	33622.019558	38
ClickiT_SerumStarved	130405	25	1	1915.423166	2979.890625	1801	1612	189	235.750000	85083908.000000	5639.177359	323555306.000000	21444.545732	45
ClickiT_SerumStarved	130405	26	1	1199.825308	2020.500000	1198	996	202	247.750000	97151185.000000	6127.092899	236892204.000000	14940.224773	11
ClickiT_SerumStarved	130405	27	1	1818.740163	3618.093750	2484	2187	297	339.140625	156429157.000000	7207.056300	741706364.000000	34172.143009	206
ClickiT_SerumStarved	130405	28	1	1772.090369	4078.546875	1979	1667	312	321.359375	165175488.000000	8031.092916	356427293.000000	17330.057519	26
ClickiT_SerumStarved	130405	29	1	1208.174755	2558.109375	1492	1223	269	242.484375	88792313.000000	5721.522843	169600278.000000	10928.557124	9
ClickiT_SerumStarved	130405	30	1	1906.160431	3954.015625	2405	2218	187	288.953125	92969633.000000	5027.287785	432568022.000000	23390.905856	101
ClickiT_SerumStarved	130405	31	1	1541.914005	4733.703125	2292	2016	276	290.515625	128285737.000000	6899.679288	519224281.000000	27925.793632	104
ClickiT_SerumStarved	130405	32	1	866.839438	2944.234375	1692	1503	189	247.921875	146589353.000000	9238.630680	626025864.000000	39454.582719	137
ClickiT_SerumStarved	130405	33	1	791.106689	3769.296875	1445	1267	178	282.062500	96061275.000000	5321.364669	378932779.000000	20991.179869	7
ClickiT_SerumStarved	130405	34	1	1161.090343	3464.843750	2227	1999	228	351.343750	147909906.000000	6577.866495	409570139.000000	18214.450725	144
ClickiT_SerumStarved	130405	35	1	1380.343887	2245.828125	1480	1224	256	236.671875	83227271.000000	5494.637288	211835019.000000	13985.278867	11
ClickiT_SerumStarved	130405	36	1	821.023837	3372.140625	1008	866	142	245.046875	83663907.000000	5334.687687	255076926.000000	16264.549257	4
ClickiT_SerumStarved	130405	37	1	747.986693	2704.875000	1212	1027	185	233.437500	75136761.000000	5029.234337	144734354.000000	9687.707764	4
