exptType 	 gene 	 date 	 fixative 	 dataNum 	 objNum 	numTxnSites 	 numCyclin 	 xVar 	 intensity 
TxnSiteData	MYC	121205	Form	1	1	1	21	4667.536210	500.000000
TxnSiteData	MYC	121205	Form	2	1	1	138	1971.807185	855.000000
TxnSiteData	MYC	121205	Form	3	1	1	3	4113.216502	7879.000000
TxnSiteData	MYC	121205	Form	4	1	0	4	4733.278496	0.000000
TxnSiteData	MYC	121205	Form	5	1	2	6	4291.071774	4625.000000
TxnSiteData	MYC	121205	Form	5	1	2	6	4291.071774	3695.000000
TxnSiteData	MYC	121205	Form	6	1	1	6	3603.791469	2250.000000
TxnSiteData	MYC	121205	Form	7	1	1	4	2754.093432	666.000000
TxnSiteData	MYC	121205	Form	8	1	1	3	2096.920807	3177.000000
TxnSiteData	MYC	121205	Form	9	1	2	160	3242.295439	1643.000000
TxnSiteData	MYC	121205	Form	9	1	2	160	3242.295439	1099.000000
TxnSiteData	MYC	121205	Form	10	1	1	90	2118.441530	6345.000000
TxnSiteData	MYC	121205	Form	11	1	2	411	4039.198045	8457.000000
TxnSiteData	MYC	121205	Form	11	1	2	411	4039.198045	10150.000000
TxnSiteData	MYC	121205	Form	12	1	0	3	1229.873073	0.000000
TxnSiteData	MYC	121205	Form	13	1	2	6	3032.171314	1936.000000
TxnSiteData	MYC	121205	Form	13	1	2	6	3032.171314	2336.000000
TxnSiteData	MYC	121205	Form	14	1	2	2	5399.451739	8389.000000
TxnSiteData	MYC	121205	Form	14	1	2	2	5399.451739	3503.000000
TxnSiteData	MYC	121205	Form	15	1	2	324	4733.540530	1852.000000
TxnSiteData	MYC	121205	Form	15	1	2	324	4733.540530	1047.000000
TxnSiteData	MYC	121205	Form	16	1	1	187	4717.690885	1625.000000
TxnSiteData	MYC	121205	Form	17	1	2	140	1713.867740	3635.000000
TxnSiteData	MYC	121205	Form	17	1	2	140	1713.867740	4887.000000
TxnSiteData	MYC	121205	Form	18	1	1	126	2281.886219	5572.000000
TxnSiteData	MYC	121205	Form	19	1	1	47	2894.215999	1855.000000
TxnSiteData	MYC	121205	Form	20	1	0	3	2095.426042	0.000000
TxnSiteData	MYC	121205	Form	21	1	1	99	1482.178140	1860.000000
