cellType 	 gene 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 nucIntensityTotal 	 nucIntensityAvg 	numCyclin 	 totalRNA 	 cytoRNA 	 nucRNA 	numTxnSites 	 avgIntron 	 avgExon 	 numRnaPerTxnSiteAvgExon 
CRL2097_Senescent	IER2	131118	1	1	5918.698502	5605.109375	4006	3743	263	375.406250	22613437.000000	941.206901	10	92	59	33	7	569.419421	503.183373	1.069836
CRL2097_Senescent	IER2	131118	2	1	2807.463260	3000.171875	2724	2557	167	248.062500	19860783.000000	1250.994142	2	20	9	11	2	441.508863	406.865258	0.944726
CRL2097_Senescent	IER2	131118	2	2	4075.957729	2464.078125	3733	3433	300	236.156250	15564572.000000	1029.811565	7	25	18	7	0	0.000000	0.000000	0.000000
CRL2097_Senescent	IER2	131118	3	1	4130.264972	2670.718750	3672	3419	253	235.406250	19451921.000000	1291.113832	7	42	31	11	5	439.316984	581.949907	1.212730
CRL2097_Senescent	IER2	131118	4	1	3724.299489	3618.734375	2922	2752	170	259.046875	18706630.000000	1128.332831	1	18	11	7	4	543.990535	562.291889	1.130381
CRL2097_Senescent	IER2	131118	5	1	2481.571679	1942.515625	1722	1583	139	193.968750	17241150.000000	1388.847269	7	30	20	10	2	356.742808	277.036689	0.607460
CRL2097_Senescent	IER2	131118	6	1	2268.024026	1975.656250	2138	1977	161	194.937500	18069748.000000	1448.360693	5	61	34	27	5	620.761949	581.826047	1.237841
CRL2097_Senescent	IER2	131118	7	1	2920.078990	6725.046875	2217	2044	173	321.703125	20869256.000000	1013.611929	3	96	53	43	10	623.601354	807.651491	1.538846
CRL2097_Senescent	IER2	131118	8	1	1651.806621	4505.156250	1313	1227	86	276.250000	19560565.000000	1106.366799	4	61	32	29	5	600.230986	563.198477	0.227166
CRL2097_Senescent	IER2	131118	9	1	4359.140716	5027.656250	2628	2414	214	353.500000	23096198.000000	1020.871552	7	30	13	17	9	594.451914	721.817023	1.629752
CRL2097_Senescent	IER2	131118	10	1	4710.291128	4393.781250	2982	2833	149	288.062500	19389290.000000	1051.708071	4	39	22	17	3	487.316682	720.429716	1.669015
CRL2097_Senescent	IER2	131118	11	1	3785.334200	5655.593750	3630	3422	208	324.531250	20481010.000000	986.086182	9	60	32	28	14	546.914347	646.558504	0.663563
CRL2097_Senescent	IER2	131118	12	1	5327.338980	5600.546875	4980	4691	289	379.359375	41000066.000000	1688.704889	7	159	88	71	12	527.018432	519.827191	1.048599
CRL2097_Senescent	IER2	131118	13	1	4418.230651	3514.906250	3046	2836	210	311.265625	21018448.000000	1055.090006	4	26	11	15	5	638.933792	475.573852	0.875017
CRL2097_Senescent	IER2	131118	14	1	4221.772094	3907.296875	3542	3315	227	280.703125	19855291.000000	1105.220763	6	79	61	18	3	477.250475	426.086348	0.845673
CRL2097_Senescent	IER2	131118	15	1	4473.913780	5446.593750	3693	3347	346	361.078125	22907347.000000	991.273833	6	61	21	40	5	660.324417	571.165052	1.229337
CRL2097_Senescent	IER2	131118	16	1	4242.221247	4367.000000	2620	2446	174	294.625000	21122582.000000	1120.204815	9	22	12	10	5	596.946889	609.707156	1.322751
CRL2097_Senescent	IER2	131118	17	1	6465.885484	5892.515625	4915	4611	304	348.906250	21668200.000000	970.362741	3	108	54	54	9	623.778509	588.486804	1.189258
CRL2097_Senescent	IER2	131118	18	1	3664.516376	5881.078125	2624	2506	118	330.921875	21841336.000000	1031.273242	3	33	16	17	5	724.082797	613.128872	1.025412
CRL2097_Senescent	IER2	131118	19	1	3107.022726	3849.562500	3305	3119	186	238.890625	19421155.000000	1270.269802	3	25	14	11	3	671.680959	647.786332	1.100169
CRL2097_Senescent	IER2	131118	20	1	2737.699945	3977.703125	2796	2560	236	321.140625	21840975.000000	1062.666034	7	82	41	41	5	759.861472	804.293235	1.452914
CRL2097_Senescent	IER2	131118	21	1	3228.699324	3216.953125	3918	3574	344	294.312500	20508821.000000	1088.809779	14	124	97	27	1	541.205692	446.301123	0.820118
CRL2097_Senescent	IER2	131118	22	1	5462.172883	4415.328125	4087	3779	308	367.937500	20874197.000000	886.453075	2	93	62	31	7	692.080790	785.007057	1.420258
CRL2097_Senescent	IER2	131118	24	1	3691.088907	3985.171875	2817	2652	165	263.609375	20128381.000000	1193.075751	7	31	18	13	2	561.957491	662.491033	1.168765
CRL2097_Senescent	IER2	131118	26	1	2598.741728	2924.984375	2869	2628	241	233.171875	21079499.000000	1412.551029	3	31	12	19	3	546.189260	561.973852	0.932053
CRL2097_Senescent	IER2	131118	27	1	3063.541688	3924.125000	2641	2388	253	256.015625	19876028.000000	1213.062435	4	28	17	11	0	0.000000	0.000000	0.000000
CRL2097_Senescent	IER2	131118	28	1	2226.520674	2396.312500	2587	2316	271	281.531250	20646205.000000	1145.865523	4	36	18	18	8	643.071188	688.966600	1.030832
CRL2097_Senescent	IER2	131118	29	1	4962.535434	3722.390625	3948	3685	263	255.593750	20731043.000000	1267.333598	7	88	56	32	3	1390.687203	1391.411967	2.383815
CRL2097_Senescent	IER2	131118	30	1	2457.260544	3660.953125	2350	2211	139	229.343750	20856102.000000	1420.908979	4	51	29	22	2	660.565621	879.612677	1.647317
CRL2097_Senescent	IER2	131118	31	1	2035.757727	1901.468750	2035	1862	173	214.515625	22290962.000000	1623.640615	3	31	19	12	3	543.307786	775.100478	1.373277
CRL2097_Senescent	IER2	131118	34	1	2025.669213	2838.562500	2097	1964	133	249.109375	18700691.000000	1172.971900	3	27	14	13	2	548.056161	530.278010	0.925015
CRL2097_Senescent	IER2	131118	36	1	1843.280814	3324.562500	2560	2407	153	221.000000	19153629.000000	1354.187571	29	46	26	20	1	582.246198	440.863476	0.778588
CRL2097_Senescent	IER2	131118	39	1	3339.563051	1955.156250	2812	2637	175	221.046875	19143533.000000	1353.186753	9	117	51	66	4	652.268717	625.224328	1.150112
CRL2097_Senescent	IER2	131118	40	1	3092.497961	3937.921875	2486	2331	155	259.906250	20490379.000000	1231.837141	9	31	11	20	6	487.522844	455.170230	0.976333
CRL2097_Senescent	IER2	131118	41	1	5538.552813	5324.875000	3142	2966	176	350.515625	22636549.000000	1009.073642	3	62	43	19	10	601.434366	605.848716	0.964940
CRL2097_Senescent	IER2	131118	43	1	2382.957763	2105.437500	2542	2301	241	217.109375	16400151.000000	1180.291544	5	20	9	11	0	0.000000	0.000000	0.000000
CRL2097_Senescent	IER2	131118	44	1	1836.885449	2876.468750	2300	2166	134	202.656250	20141095.000000	1552.898612	64	23	16	7	1	576.984742	755.800508	0.486293
CRL2097_Senescent	EEF2	131119	1	1	2286.682815	2642.187500	2373	2202	171	222.046875	19122001.000000	1345.577440	7	965	908	57	2	405.977884	1365.691771	1.961348
CRL2097_Senescent	EEF2	131119	2	1	3101.723693	3410.406250	2922	2719	203	235.781250	18670099.000000	1237.249768	3	1063	994	69	2	853.247920	1487.912785	2.201132
CRL2097_Senescent	EEF2	131119	3	1	3014.796586	4586.906250	2181	2020	161	266.468750	19603383.000000	1149.488859	3	597	544	53	1	460.447576	522.145852	0.749405
CRL2097_Senescent	EEF2	131119	4	1	1403.416293	1757.968750	1282	1137	145	197.359375	17075461.000000	1351.869290	3	541	487	54	2	685.828696	1317.870903	2.159789
CRL2097_Senescent	EEF2	131119	4	2	2699.158227	2524.703125	2778	2498	280	247.828125	18887295.000000	1190.801021	12	1043	960	83	2	1843.430262	3225.159098	4.208068
