cellType 	 gene 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 nucIntensityTotal 	 nucIntensityAvg 	numCyclin 	 totalRNA 	 cytoRNA 	 nucRNA 	numTxnSites 	 avgIntron 	 avgExon 	 numRnaPerTxnSiteAvgExon 
CRL2097_SerumStarved	EEF2	120801	1	1	1221.575575	2470.343750	1824	1613	211	294.203125	285776.000000	15.177439	3	763	692	71	0	0.000000	0.000000	0.000000
CRL2097_SerumStarved	EEF2	120801	2	1	1910.107272	3696.218750	2137	1668	469	330.953125	2167841.000000	102.348378	5	1105	922	183	1	861.095866	1726.653324	2.939312
CRL2097_SerumStarved	EEF2	120801	3	1	829.503949	2847.531250	781	609	172	574.312500	1035207.000000	28.164300	6	730	591	139	1	375.196691	1313.734608	2.286445
CRL2097_SerumStarved	EEF2	120801	4	1	3275.893033	5690.640625	4594	4193	401	481.109375	1669135.000000	54.208535	37	2523	2335	188	3	842.121564	1039.017855	1.887549
CRL2097_SerumStarved	EEF2	120801	5	1	1743.671474	3642.500000	1775	1257	518	927.828125	1285424.000000	21.647059	13	822	616	206	2	702.593460	1176.549238	2.239331
CRL2097_SerumStarved	EEF2	120801	7	1	548.997044	1436.109375	657	644	13	55.437500	52465.000000	14.787204	5	497	486	11	0	0.000000	0.000000	0.000000
CRL2097_SerumStarved	EEF2	120801	8	1	437.059759	1202.468750	522	511	11	28.578125	30181.000000	16.501367	4	383	370	13	0	0.000000	0.000000	0.000000
CRL2097_SerumStarved	EEF2	120801	9	1	739.674023	3559.140625	1052	979	73	220.625000	1272336.000000	90.108782	13	689	639	50	0	0.000000	0.000000	0.000000
CRL2097_SerumStarved	EEF2	120801	11	1	1792.187218	3889.187500	2589	1723	866	1090.750000	1407501.000000	20.162460	8	1021	704	317	2	627.400011	1830.602017	3.024645
CRL2097_SerumStarved	EEF2	120801	12	1	2001.280867	3761.484375	2609	2031	578	788.984375	1211905.000000	24.000495	3	867	669	198	1	464.951533	766.395548	1.207475
CRL2097_SerumStarved	EEF2	120801	13	1	1192.840634	2760.062500	1686	1450	236	244.671875	1441895.000000	92.080912	3	813	729	84	2	443.693692	1083.124037	1.791707
CRL2097_SerumStarved	EEF2	120801	14	1	752.438352	1803.218750	1144	924	220	327.000000	707917.000000	33.826309	2	487	398	89	2	676.935280	760.707854	1.190924
CRL2097_SerumStarved	EEF2	120801	15	1	889.433369	3825.218750	1471	980	491	1067.953125	1472577.000000	21.544968	3	651	448	203	1	410.019968	903.462533	1.449397
CRL2097_SerumStarved	EEF2	120801	18	1	389.709470	2415.609375	640	542	98	208.328125	2062203.000000	154.669092	3	619	564	55	0	0.000000	0.000000	0.000000
CRL2097_SerumStarved	EEF2	120801	19	1	360.804934	2746.515625	1185	1019	166	218.031250	2984825.000000	213.904615	2	487	441	46	0	0.000000	0.000000	0.000000
CRL2097_SerumStarved	EEF2	120801	20	1	598.304243	2663.281250	957	879	78	147.609375	2015284.000000	213.325288	1	559	539	20	2	717.621251	417.324674	0.465915
CRL2097_SerumStarved	EEF2	120801	21	1	1044.235498	2637.562500	1644	1364	280	247.187500	3212131.000000	203.042415	2	757	690	67	1	811.763726	1044.565667	1.934859
CRL2097_SerumStarved	EEF2	120801	22	1	538.936107	1669.625000	974	841	133	194.390625	2030892.000000	163.241862	4	492	425	67	1	901.002962	872.971931	0.799602
CRL2097_SerumStarved	EEF2	120801	23	1	689.139107	2202.500000	1289	993	296	291.343750	5159953.000000	276.732436	4	873	737	136	0	0.000000	0.000000	0.000000
CRL2097_SerumStarved	EEF2	120801	24	1	433.538292	2558.546875	1273	1098	175	244.968750	3610781.000000	230.308777	1	600	550	50	2	1096.306488	1252.189473	1.374606
CRL2097_SerumStarved	EEF2	120801	25	1	585.514453	2048.328125	1538	1230	308	207.781250	2716577.000000	204.284629	6	613	519	94	1	971.025400	2078.280752	2.206639
CRL2097_SerumStarved	EEF2	120801	26	1	519.547819	1953.031250	1194	959	235	263.078125	3558710.000000	211.362476	26	642	568	74	2	1152.490083	1302.597356	1.460655
