exptType 	 class 	 date 	 repNum 	 dataNum 	 objNum 	volume 	 cytoGAPDH 	 cytoGFP 	 cytoGAS6 
Heterokaryon	12h	131216	1	1	1	4176.530334	3484	2627	45
Heterokaryon	12h	131216	1	2	1	6644.292352	3978	1951	347
Heterokaryon	12h	131216	1	3	1	5321.448110	3663	1843	182
Heterokaryon	12h	131216	1	4	1	2470.422701	1868	1855	76
Heterokaryon	12h	131216	1	5	1	4496.744110	3939	1829	201
Heterokaryon	12h	131216	1	6	1	5213.408462	4095	2462	165
Heterokaryon	12h	131216	1	7	1	3778.139631	2483	1507	58
Heterokaryon	12h	131216	1	8	1	6150.460006	4814	3144	171
Heterokaryon	12h	131216	1	9	1	2996.604802	2286	1583	65
Heterokaryon	12h	131216	1	10	1	3154.816637	2464	1539	103
Heterokaryon	12h	131216	1	11	1	9006.913813	4803	3313	188
Heterokaryon	12h	131216	1	12	1	6455.798658	4169	1655	110
Heterokaryon	12h	131216	1	14	1	6009.317048	3248	2043	86
Heterokaryon	12h	131216	1	15	1	4041.697368	2407	1661	89
Heterokaryon	12h	131216	1	16	1	5109.650969	4656	2712	99
Heterokaryon	12h	131216	1	17	1	6247.467803	4269	2620	313
Heterokaryon	12h	131216	1	18	1	4367.184481	3022	1930	139
Heterokaryon	12h	131216	1	19	1	6849.774556	3308	1981	178
Heterokaryon	12h	131216	1	20	1	4123.165154	3457	2620	92
Heterokaryon	12h	131216	1	21	1	7121.517919	5178	3321	426
Heterokaryon	ctrl	131216	1	1	1	530.774429	396	781	1
Heterokaryon	ctrl	131216	1	1	2	137.146530	78	227	0
Heterokaryon	ctrl	131216	1	2	1	1898.146477	1472	1806	21
Heterokaryon	ctrl	131216	1	2	2	1795.870457	1177	2050	21
Heterokaryon	ctrl	131216	1	3	1	1274.787501	575	1100	1
Heterokaryon	ctrl	131216	1	3	2	1844.823942	756	1513	2
Heterokaryon	ctrl	131216	1	3	3	1180.674274	661	1181	3
Heterokaryon	ctrl	131216	1	4	1	1207.918003	546	1000	27
Heterokaryon	ctrl	131216	1	4	2	2483.422475	1312	2234	95
