exptType 	 gene 	 date 	 fixative 	 dataNum 	 objNum 	numCyclin 	 numHistone 
GAPDH	GAPDH	131109	MeOH	1	1	1	79
GAPDH	GAPDH	131109	MeOH	2	1	134	634
GAPDH	GAPDH	131109	MeOH	3	1	204	150
GAPDH	GAPDH	131109	MeOH	4	1	7	156
GAPDH	GAPDH	131109	MeOH	5	1	14	131
GAPDH	GAPDH	131109	MeOH	6	1	163	268
GAPDH	GAPDH	131109	MeOH	6	2	49	111
GAPDH	GAPDH	131109	MeOH	7	1	209	192
GAPDH	GAPDH	131109	MeOH	7	2	36	144
GAPDH	GAPDH	131109	MeOH	8	1	92	390
GAPDH	GAPDH	131109	MeOH	8	2	49	92
GAPDH	GAPDH	131109	MeOH	9	1	55	265
GAPDH	GAPDH	131109	MeOH	10	1	9	152
GAPDH	GAPDH	131109	MeOH	11	1	247	172
GAPDH	GAPDH	131109	MeOH	12	1	56	215
GAPDH	GAPDH	131109	MeOH	13	1	4	150
GAPDH	GAPDH	131109	MeOH	14	1	139	168
GAPDH	GAPDH	131109	MeOH	15	1	255	174
GAPDH	GAPDH	131109	MeOH	16	1	430	248
GAPDH	GAPDH	131109	MeOH	17	1	59	158
GAPDH	GAPDH	131109	MeOH	18	1	14	123
GAPDH	GAPDH	131109	MeOH	19	1	70	94
GAPDH	GAPDH	131109	MeOH	20	1	331	128
GAPDH	GAPDH	131109	MeOH	21	1	1	62
GAPDH	GAPDH	131109	MeOH	22	1	62	380
GAPDH	GAPDH	131109	MeOH	23	1	47	354
GAPDH	GAPDH	131109	MeOH	24	1	2	124
GAPDH	GAPDH	131109	MeOH	25	1	137	55
GAPDH	GAPDH	131109	MeOH	26	1	10	214
GAPDH	GAPDH	131109	MeOH	27	1	262	122
GAPDH	GAPDH	131109	MeOH	28	1	180	116
GAPDH	GAPDH	131109	MeOH	29	1	238	155
GAPDH	GAPDH	131109	MeOH	30	1	243	117
GAPDH	GAPDH	131109	MeOH	30	2	154	466
GAPDH	GAPDH	131109	MeOH	31	1	232	1664
GAPDH	GAPDH	131109	MeOH	32	1	5	121
GAPDH	GAPDH	131109	MeOH	33	1	68	204
GAPDH	GAPDH	131109	MeOH	33	2	260	102
GAPDH	GAPDH	131109	MeOH	34	1	120	290
GAPDH	GAPDH	131109	MeOH	35	1	2	55
GAPDH	GAPDH	131109	MeOH	36	1	80	200
GAPDH	GAPDH	131109	MeOH	37	1	85	213
GAPDH	GAPDH	131109	MeOH	38	1	161	245
GAPDH	GAPDH	131109	MeOH	39	1	5	83
GAPDH	GAPDH	131109	MeOH	40	1	7	138
GAPDH	GAPDH	131109	MeOH	41	1	198	340
GAPDH	GAPDH	131109	MeOH	42	1	31	144
GAPDH	GAPDH	131109	MeOH	43	1	1	137
GAPDH	GAPDH	131109	MeOH	44	1	3	150
GAPDH	GAPDH	131109	MeOH	45	1	0	92
GAPDH	GAPDH	131109	MeOH	46	1	245	187
GAPDH	GAPDH	131109	MeOH	47	1	62	252
GAPDH	GAPDH	131109	MeOH	48	1	115	572
GAPDH	GAPDH	131109	MeOH	49	1	130	555
GAPDH	GAPDH	131109	MeOH	50	1	71	181
GAPDH	GAPDH	131109	MeOH	51	1	152	144
GAPDH	GAPDH	131109	MeOH	52	1	54	186
GAPDH	GAPDH	131109	MeOH	53	1	256	156
GAPDH	GAPDH	131109	MeOH	54	1	284	189
GAPDH	GAPDH	131109	MeOH	55	1	136	297
GAPDH	GAPDH	131109	MeOH	56	1	52	122
GAPDH	GAPDH	131109	MeOH	57	1	3	78
GAPDH	GAPDH	131109	MeOH	58	1	8	98
GAPDH	GAPDH	131109	MeOH	59	1	108	744
GAPDH	GAPDH	131109	MeOH	60	1	114	628
GAPDH	GAPDH	131109	MeOH	61	1	408	175
GAPDH	GAPDH	131109	MeOH	62	1	376	133
GAPDH	GAPDH	131109	MeOH	63	1	174	369
GAPDH	GAPDH	131109	MeOH	64	1	295	123
GAPDH	GAPDH	131109	MeOH	64	2	222	443
GAPDH	GAPDH	131109	MeOH	65	1	249	133
GAPDH	GAPDH	131109	MeOH	66	1	3	36
GAPDH	GAPDH	131109	MeOH	67	1	86	179
GAPDH	GAPDH	131109	MeOH	68	1	3	90
GAPDH	GAPDH	131109	MeOH	69	1	13	120
GAPDH	GAPDH	131109	MeOH	70	1	0	44
GAPDH	GAPDH	131109	MeOH	71	1	7	74
GAPDH	GAPDH	131109	MeOH	72	1	2	127
GAPDH	GAPDH	131109	MeOH	73	1	190	720
GAPDH	GAPDH	131109	MeOH	74	1	4	74
GAPDH	GAPDH	131109	MeOH	75	1	169	506
GAPDH	GAPDH	131109	MeOH	76	1	194	147
GAPDH	GAPDH	131109	MeOH	77	1	9	118
GAPDH	GAPDH	131109	MeOH	78	1	37	143
GAPDH	GAPDH	131109	MeOH	79	1	107	552
GAPDH	GAPDH	131109	MeOH	80	1	278	155
GAPDH	GAPDH	131109	MeOH	81	1	201	138
GAPDH	GAPDH	131109	MeOH	82	1	4	78
GAPDH	GAPDH	131109	MeOH	83	1	93	578
GAPDH	GAPDH	131109	MeOH	84	1	222	129
GAPDH	GAPDH	131109	MeOH	85	1	2	54
GAPDH	GAPDH	131109	MeOH	86	1	331	119
GAPDH	GAPDH	131109	MeOH	87	1	236	103
GAPDH	GAPDH	131109	MeOH	88	1	154	459
GAPDH	GAPDH	131109	MeOH	89	1	2	89
GAPDH	GAPDH	131109	MeOH	90	1	61	461
GAPDH	GAPDH	131109	MeOH	91	1	51	319
GAPDH	GAPDH	131109	MeOH	92	1	115	536
GAPDH	GAPDH	131109	MeOH	93	1	242	131
GAPDH	GAPDH	131109	MeOH	94	1	64	524
GAPDH	GAPDH	131109	MeOH	95	1	181	123
GAPDH	GAPDH	131109	MeOH	96	1	33	84
GAPDH	GAPDH	131109	MeOH	97	1	80	500
GAPDH	GAPDH	131109	MeOH	98	1	143	390
GAPDH	GAPDH	131109	MeOH	99	1	10	261
GAPDH	GAPDH	131109	MeOH	100	1	72	113
GAPDH	GAPDH	131109	MeOH	101	1	378	558
GAPDH	GAPDH	131109	MeOH	102	1	3	120
GAPDH	GAPDH	131109	MeOH	103	1	5	175
GAPDH	GAPDH	131109	MeOH	104	1	126	415
GAPDH	GAPDH	131109	MeOH	105	1	5	175
GAPDH	GAPDH	131109	MeOH	106	1	6	100
GAPDH	GAPDH	131109	MeOH	107	1	250	111
GAPDH	GAPDH	131109	MeOH	108	1	74	495
GAPDH	GAPDH	131109	MeOH	109	1	137	423
GAPDH	GAPDH	131109	MeOH	110	1	243	125
