cellType 	 date 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 dapiIntensityTotal 	 dapiIntensityAvg 	rrnaIntensityTotal 	 rrnaIntensityAvg 	itsIntensityTotal 	 itsIntensityAvg 	numCyclin 
rRNA	120906	1	1	2909.821379	2946.921875	2458	2264	194	321.953125	15741098.000000	763.945547	587630656.000000	3497.843165	54333210.000000	15352.701328	157
rRNA	120906	4	1	1604.063401	1540.609375	1823	1656	167	219.000000	19352286.000000	1380.728168	251424909.000000	2972.522954	40022483.000000	12329.785274	124
rRNA	120906	5	1	2560.542964	1566.328125	1927	1765	162	235.609375	15750435.000000	1044.527820	304695663.000000	3577.667884	36698781.000000	9833.542605	113
rRNA	120906	7	1	3610.999679	2856.843750	4220	3888	332	412.343750	46492735.000000	1761.755779	718239345.000000	4590.914202	98632353.000000	17297.852157	311
rRNA	120906	8	1	3086.139115	2672.656250	2416	2246	170	259.531250	12559293.000000	756.128417	358946077.000000	2324.178173	45591198.000000	15428.493401	4
rRNA	120906	9	1	1321.905010	1437.125000	1477	1354	123	214.093750	13560340.000000	989.661363	220984884.000000	2823.222066	34852405.000000	10532.609550	1
rRNA	120906	10	1	3786.460078	4326.281250	2278	2080	198	327.609375	13337159.000000	636.102399	340907496.000000	1332.112209	47384893.000000	10227.691129	7
rRNA	120906	11	1	1743.960783	2554.515625	1669	1562	107	239.328125	14343208.000000	936.424104	292225269.000000	1972.203041	47589308.000000	13099.176438	1
rRNA	120906	11	2	3056.265492	2518.796875	2851	2669	182	249.531250	11543092.000000	722.798497	314373885.000000	2164.617442	54771963.000000	13047.156503	7
rRNA	120906	12	1	4725.628063	3535.828125	4011	3754	257	467.468750	27262964.000000	911.256234	569028059.000000	2897.660390	118405370.000000	11400.478529	84
rRNA	120906	13	1	4383.889894	3350.203125	3091	2947	144	229.640625	12479155.000000	849.095394	582227369.000000	2915.276538	55309417.000000	16806.264661	2
rRNA	120906	14	1	3401.591948	5352.640625	2592	2466	126	287.140625	14612203.000000	795.135387	735097820.000000	2267.476742	65917331.000000	13281.751159	8
rRNA	120906	15	1	1399.353038	1422.953125	1594	1452	142	199.859375	12387310.000000	968.439528	286852459.000000	3664.534850	33417229.000000	9996.179779	6
rRNA	120906	16	1	2389.723906	2827.296875	2115	1913	202	282.250000	22177927.000000	1227.741752	550854393.000000	3381.902304	47791099.000000	11568.893488	133
rRNA	120906	17	1	3455.169760	3724.375000	2204	2034	170	262.796875	13542715.000000	805.203341	490296381.000000	2213.118028	64743014.000000	12431.454301	6
rRNA	120906	18	1	2473.955438	2421.515625	2145	1996	149	224.812500	11431293.000000	794.501877	339481267.000000	2414.707175	39834085.000000	10206.017166	5
rRNA	120906	19	1	6570.825543	5163.687500	6140	5890	250	346.625000	14073170.000000	634.383790	1395188204.000000	4525.541383	99976426.000000	26554.163612	9
rRNA	120906	20	1	2307.477523	2323.718750	2850	2592	258	328.796875	26330994.000000	1251.294682	675307261.000000	5289.267758	73478653.000000	15063.274498	193
rRNA	120906	21	1	2925.536908	2933.015625	3056	2749	307	338.093750	23375037.000000	1080.277151	646519675.000000	3892.937980	88620353.000000	14440.337787	309
rRNA	120906	22	1	1812.795164	2600.140625	2269	2083	186	260.750000	22377960.000000	1340.961170	568440995.000000	3796.668437	55947297.000000	12802.585126	308
rRNA	120906	23	1	2208.045114	3167.484375	2819	2591	228	221.328125	10998379.000000	776.447511	627811217.000000	3329.609645	59623194.000000	16575.811510	4
rRNA	120906	24	1	4982.325834	7303.062500	4982	4353	629	621.343750	22481925.000000	565.355454	1428842055.000000	3341.304527	145946144.000000	8493.141527	5
rRNA	120906	25	1	2421.637289	3413.968750	2396	2210	186	262.375000	10649529.000000	634.202537	661294568.000000	3278.572191	68429119.000000	16908.603657	3
rRNA	120906	26	1	4140.544133	3181.171875	3871	3631	240	348.046875	20555890.000000	922.823345	1075097781.000000	5929.284034	60126549.000000	14353.437336	197
rRNA	120906	27	1	1289.729539	1006.828125	1625	1388	237	169.062500	10897027.000000	1007.118946	308836624.000000	5760.050432	38159589.000000	16700.038950	6
rRNA	120906	28	1	1648.414431	2024.750000	1864	1744	120	267.781250	13881649.000000	809.992356	393466552.000000	3499.160059	48776774.000000	10245.069103	57
rRNA	130516	1	1	2440.276433	4103.312500	3082	2923	159	310.890625	64041742.000000	3218.663216	1533268008.000000	6317.153897	60476175.000000	15578.612828	129
rRNA	130516	2	1	2311.137131	3071.500000	2452	2307	145	268.093750	45202920.000000	2634.509850	1258519984.000000	7014.457769	49680000.000000	15409.429280	13
rRNA	130516	3	1	2645.113441	3075.953125	2757	2564	193	248.046875	46368373.000000	2920.842394	1236569015.000000	6832.401484	62243843.000000	12379.443715	86
rRNA	130516	5	1	1280.167588	1491.218750	1875	1681	194	252.812500	54597488.000000	3374.381211	842225127.000000	10626.373704	64798386.000000	11610.533238	120
rRNA	130516	6	1	3115.741375	2705.640625	3249	2995	254	276.343750	54313432.000000	3070.984508	1517546836.000000	9760.712886	47442773.000000	12287.690495	104
rRNA	130516	6	2	2073.287444	1606.781250	2717	2440	277	263.796875	70494045.000000	4175.445418	1085234389.000000	12626.198520	59795806.000000	9836.454351	211
rRNA	130516	7	1	2050.439137	1491.750000	2934	2705	229	230.921875	74993713.000000	5074.342851	1055888817.000000	13085.259155	65771336.000000	13034.351169	288
rRNA	130516	8	1	2137.957896	2271.609375	2138	1997	141	243.484375	40252286.000000	2583.089649	1083468484.000000	8347.214823	48776930.000000	15233.269831	4
rRNA	130516	8	2	1591.022874	1415.062500	2577	2332	245	201.781250	58782877.000000	4551.872154	1092971031.000000	14075.608899	60457119.000000	19144.116213	123
rRNA	130516	10	1	2383.739005	4309.859375	2722	2439	283	257.734375	40150389.000000	2434.094513	1312019879.000000	5059.150596	66854223.000000	17789.841139	9
rRNA	130516	11	1	1835.614194	1861.750000	1787	1641	146	250.187500	37527497.000000	2343.710779	899207566.000000	8718.320399	59545195.000000	10239.930353	97
rRNA	130516	12	1	2116.955622	2317.062500	2327	2091	236	246.593750	40809213.000000	2585.807439	982974298.000000	7418.114090	57332932.000000	13027.251079	2
