drug 	 gene 	 date 	 conc 	 dataNum 	 objNum 	numTxnSites 	 intensity 
Triptolide	UBC	141105	100nM	1	1	2	2416.000000
Triptolide	UBC	141105	100nM	1	1	2	2166.000000
Triptolide	UBC	141105	100nM	1	2	1	3362.000000
Triptolide	UBC	141105	100nM	1	3	2	1355.000000
Triptolide	UBC	141105	100nM	1	3	2	995.000000
Triptolide	UBC	141105	100nM	1	4	1	2974.000000
Triptolide	UBC	141105	100nM	1	5	2	2766.000000
Triptolide	UBC	141105	100nM	1	5	2	4018.000000
Triptolide	UBC	141105	100nM	2	1	2	4116.000000
Triptolide	UBC	141105	100nM	2	1	2	4666.000000
Triptolide	UBC	141105	100nM	2	2	2	2490.000000
Triptolide	UBC	141105	100nM	2	2	2	2982.000000
Triptolide	UBC	141105	100nM	2	3	1	1745.000000
Triptolide	UBC	141105	100nM	3	1	2	1940.000000
Triptolide	UBC	141105	100nM	3	1	2	3930.000000
Triptolide	UBC	141105	100nM	3	2	2	1940.000000
Triptolide	UBC	141105	100nM	3	2	2	3701.000000
Triptolide	UBC	141105	100nM	3	3	1	3778.000000
Triptolide	UBC	141105	100nM	3	4	1	1486.000000
Triptolide	UBC	141105	100nM	4	1	2	3146.000000
Triptolide	UBC	141105	100nM	4	1	2	2497.000000
Triptolide	UBC	141105	100nM	4	2	1	2999.000000
Triptolide	UBC	141105	100nM	5	1	2	3157.000000
Triptolide	UBC	141105	100nM	5	1	2	1771.000000
Triptolide	UBC	141105	100nM	5	2	2	5081.000000
Triptolide	UBC	141105	100nM	5	2	2	2384.000000
Triptolide	UBC	141105	100nM	5	3	1	5319.000000
Triptolide	UBC	141105	100nM	5	4	2	3649.000000
Triptolide	UBC	141105	100nM	5	4	2	1087.000000
Triptolide	UBC	141105	100nM	5	5	1	2397.000000
Triptolide	UBC	141105	100nM	6	1	0	0.000000
Triptolide	UBC	141105	100nM	6	2	2	2072.000000
Triptolide	UBC	141105	100nM	6	2	2	1777.000000
Triptolide	UBC	141105	100nM	6	3	1	4468.000000
Triptolide	UBC	141105	100nM	6	4	2	4866.000000
Triptolide	UBC	141105	100nM	6	4	2	1990.000000
Triptolide	UBC	141105	100nM	6	5	3	3208.000000
Triptolide	UBC	141105	100nM	6	5	3	3529.000000
Triptolide	UBC	141105	100nM	6	5	3	1688.000000
Triptolide	UBC	141105	100nM	7	1	2	4231.000000
Triptolide	UBC	141105	100nM	7	1	2	1763.000000
Triptolide	UBC	141105	100nM	7	2	1	2300.000000
Triptolide	UBC	141105	100nM	7	3	2	5418.000000
Triptolide	UBC	141105	100nM	7	3	2	5770.000000
Triptolide	UBC	141105	100nM	8	1	1	3489.000000
Triptolide	UBC	141105	100nM	8	2	1	8118.000000
Triptolide	UBC	141105	100nM	8	3	1	3711.000000
Triptolide	UBC	141105	10nM	1	1	2	3853.000000
Triptolide	UBC	141105	10nM	1	1	2	3081.000000
Triptolide	UBC	141105	10nM	1	2	1	3837.000000
Triptolide	UBC	141105	10nM	1	3	2	1966.000000
Triptolide	UBC	141105	10nM	1	3	2	2226.000000
Triptolide	UBC	141105	10nM	1	4	0	0.000000
Triptolide	UBC	141105	10nM	2	1	3	2927.000000
Triptolide	UBC	141105	10nM	2	1	3	1693.000000
Triptolide	UBC	141105	10nM	2	1	3	1638.000000
Triptolide	UBC	141105	10nM	2	2	4	2070.000000
Triptolide	UBC	141105	10nM	2	2	4	4071.000000
Triptolide	UBC	141105	10nM	2	2	4	2688.000000
Triptolide	UBC	141105	10nM	2	2	4	2570.000000
Triptolide	UBC	141105	10nM	2	3	2	3430.000000
Triptolide	UBC	141105	10nM	2	3	2	4626.000000
Triptolide	UBC	141105	10nM	3	1	1	2633.000000
Triptolide	UBC	141105	10nM	3	2	0	0.000000
Triptolide	UBC	141105	10nM	3	3	0	0.000000
Triptolide	UBC	141105	10nM	3	4	2	5544.000000
Triptolide	UBC	141105	10nM	3	4	2	3597.000000
Triptolide	UBC	141105	10nM	4	1	3	7644.000000
Triptolide	UBC	141105	10nM	4	1	3	7707.000000
Triptolide	UBC	141105	10nM	4	1	3	3257.000000
Triptolide	UBC	141105	10nM	4	2	1	2011.000000
Triptolide	UBC	141105	10nM	4	3	1	1380.000000
Triptolide	UBC	141105	10nM	5	1	2	1647.000000
Triptolide	UBC	141105	10nM	5	1	2	1433.000000
Triptolide	UBC	141105	10nM	5	2	0	0.000000
Triptolide	UBC	141105	10nM	5	3	1	2487.000000
Triptolide	UBC	141105	10nM	6	1	2	1913.000000
Triptolide	UBC	141105	10nM	6	1	2	2173.000000
Triptolide	UBC	141105	10nM	6	2	2	3382.000000
Triptolide	UBC	141105	10nM	6	2	2	2206.000000
Triptolide	UBC	141105	10nM	6	3	2	3353.000000
Triptolide	UBC	141105	10nM	6	3	2	4095.000000
Triptolide	UBC	141105	10nM	6	4	0	0.000000
Triptolide	UBC	141105	10nM	6	5	1	8358.000000
Triptolide	UBC	141105	10uM	1	1	0	0.000000
Triptolide	UBC	141105	10uM	1	2	0	0.000000
Triptolide	UBC	141105	10uM	1	3	0	0.000000
Triptolide	UBC	141105	10uM	2	1	0	0.000000
Triptolide	UBC	141105	10uM	2	2	0	0.000000
Triptolide	UBC	141105	10uM	2	3	0	0.000000
Triptolide	UBC	141105	10uM	2	4	0	0.000000
Triptolide	UBC	141105	10uM	3	1	0	0.000000
Triptolide	UBC	141105	10uM	3	2	1	2047.000000
Triptolide	UBC	141105	10uM	3	3	0	0.000000
Triptolide	UBC	141105	10uM	4	1	0	0.000000
Triptolide	UBC	141105	10uM	4	2	0	0.000000
Triptolide	UBC	141105	10uM	4	3	1	2261.000000
Triptolide	UBC	141105	10uM	4	4	0	0.000000
Triptolide	UBC	141105	10uM	5	1	0	0.000000
Triptolide	UBC	141105	10uM	5	2	0	0.000000
Triptolide	UBC	141105	10uM	5	3	0	0.000000
Triptolide	UBC	141105	10uM	5	4	0	0.000000
Triptolide	UBC	141105	10uM	5	5	0	0.000000
Triptolide	UBC	141105	10uM	5	6	0	0.000000
Triptolide	UBC	141105	10uM	6	1	0	0.000000
Triptolide	UBC	141105	10uM	6	2	0	0.000000
Triptolide	UBC	141105	10uM	6	3	0	0.000000
Triptolide	UBC	141105	10uM	6	4	0	0.000000
Triptolide	UBC	141105	10uM	7	1	0	0.000000
Triptolide	UBC	141105	10uM	7	2	0	0.000000
Triptolide	UBC	141105	10uM	7	3	0	0.000000
Triptolide	UBC	141105	10uM	7	4	1	780.000000
Triptolide	UBC	141105	1nM	1	1	2	3662.000000
Triptolide	UBC	141105	1nM	1	1	2	2595.000000
Triptolide	UBC	141105	1nM	1	2	1	5437.000000
Triptolide	UBC	141105	1nM	1	3	2	2396.000000
Triptolide	UBC	141105	1nM	1	3	2	1838.000000
Triptolide	UBC	141105	1nM	1	4	0	0.000000
Triptolide	UBC	141105	1nM	2	1	2	6586.000000
Triptolide	UBC	141105	1nM	2	1	2	3164.000000
Triptolide	UBC	141105	1nM	2	2	2	3784.000000
Triptolide	UBC	141105	1nM	2	2	2	5753.000000
Triptolide	UBC	141105	1nM	2	3	2	2412.000000
Triptolide	UBC	141105	1nM	2	3	2	1566.000000
Triptolide	UBC	141105	1nM	3	1	2	1431.000000
Triptolide	UBC	141105	1nM	3	1	2	1220.000000
Triptolide	UBC	141105	1nM	3	2	1	3489.000000
Triptolide	UBC	141105	1nM	3	3	1	1830.000000
Triptolide	UBC	141105	1nM	4	1	3	1543.000000
Triptolide	UBC	141105	1nM	4	1	3	2264.000000
Triptolide	UBC	141105	1nM	4	1	3	3088.000000
Triptolide	UBC	141105	1nM	4	2	2	3919.000000
Triptolide	UBC	141105	1nM	4	2	2	5846.000000
Triptolide	UBC	141105	1nM	4	3	2	5376.000000
Triptolide	UBC	141105	1nM	4	3	2	2389.000000
Triptolide	UBC	141105	1nM	5	1	3	2607.000000
Triptolide	UBC	141105	1nM	5	1	3	1768.000000
Triptolide	UBC	141105	1nM	5	1	3	1505.000000
Triptolide	UBC	141105	1nM	5	2	2	5211.000000
Triptolide	UBC	141105	1nM	5	2	2	4596.000000
