sampleID	gene_id	experiment	counts	exLength	type	rnaType	sumCountsErcc	fpkm
Ctrl-PL2-D10	ERCC-00004	CRL2097_Run140613	5338	522	Ctrl	ERCC	97584	104792.318821187
Ctrl-PL2-D10	ERCC-00147	CRL2097_Run140613	0	1022	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00028	CRL2097_Run140613	0	1129	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00025	CRL2097_Run140613	4	1993	Ctrl	ERCC	97584	20.5671481600588
Ctrl-PL2-D10	ERCC-00019	CRL2097_Run140613	0	643	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00043	CRL2097_Run140613	192	1022	Ctrl	ERCC	97584	1925.18166495486
Ctrl-PL2-D10	ERCC-00040	CRL2097_Run140613	0	743	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00111	CRL2097_Run140613	141	993	Ctrl	ERCC	97584	1455.09466412452
Ctrl-PL2-D10	ERCC-00099	CRL2097_Run140613	0	1349	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00046	CRL2097_Run140613	5235	521	Ctrl	ERCC	97584	102967.542270389
Ctrl-PL2-D10	ERCC-00144	CRL2097_Run140613	753	537	Ctrl	ERCC	97584	14369.5138226708
Ctrl-PL2-D10	ERCC-00062	CRL2097_Run140613	16	1022	Ctrl	ERCC	97584	160.431805412905
Ctrl-PL2-D10	ERCC-00097	CRL2097_Run140613	0	522	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00012	CRL2097_Run140613	0	993	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00042	CRL2097_Run140613	1035	1022	Ctrl	ERCC	97584	10377.9324126473
Ctrl-PL2-D10	ERCC-00116	CRL2097_Run140613	71	1990	Ctrl	ERCC	97584	365.617231921206
Ctrl-PL2-D10	ERCC-00143	CRL2097_Run140613	0	783	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00059	CRL2097_Run140613	0	524	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00165	CRL2097_Run140613	1	871	Ctrl	ERCC	97584	11.7653060513769
Ctrl-PL2-D10	ERCC-00154	CRL2097_Run140613	0	536	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00136	CRL2097_Run140613	166	1032	Ctrl	ERCC	97584	1648.35129917091
Ctrl-PL2-D10	ERCC-00002	CRL2097_Run140613	15513	1060	Ctrl	ERCC	97584	149972.389534938
Ctrl-PL2-D10	ERCC-00145	CRL2097_Run140613	471	1041	Ctrl	ERCC	97584	4636.51385189522
Ctrl-PL2-D10	ERCC-00148	CRL2097_Run140613	0	493	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00104	CRL2097_Run140613	0	2021	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00044	CRL2097_Run140613	0	1155	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00120	CRL2097_Run140613	0	535	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00131	CRL2097_Run140613	0	770	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00024	CRL2097_Run140613	0	535	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00022	CRL2097_Run140613	11	750	Ctrl	ERCC	97584	150.297863037656
Ctrl-PL2-D10	ERCC-00031	CRL2097_Run140613	0	1137	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00168	CRL2097_Run140613	0	1023	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00108	CRL2097_Run140613	872	1021	Ctrl	ERCC	97584	8752.09709078687
Ctrl-PL2-D10	ERCC-00163	CRL2097_Run140613	0	542	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00081	CRL2097_Run140613	0	533	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00130	CRL2097_Run140613	9986	1058	Ctrl	ERCC	97584	96722.4476044447
Ctrl-PL2-D10	ERCC-00051	CRL2097_Run140613	47	273	Ctrl	ERCC	97584	1764.23565503743
Ctrl-PL2-D10	ERCC-00060	CRL2097_Run140613	183	522	Ctrl	ERCC	97584	3592.54296445809
Ctrl-PL2-D10	ERCC-00074	CRL2097_Run140613	31342	521	Ctrl	ERCC	97584	616467.757371256
Ctrl-PL2-D10	ERCC-00077	CRL2097_Run140613	0	272	Ctrl	ERCC	97584	0
Ctrl-PL2-D10	ERCC-00009	CRL2097_Run140613	2	983	Ctrl	ERCC	97584	20.8496064511685
