"sampleID" "gene_id" "experiment" "counts" "exLength" "type" "rnaType" "sumCountsGenomic" "fpkm" "fpkmRatio" "gapdhEquiv" "volume" "actualCount"
"79" "Live-PL2-A01" "RND3" "CRL2097_Run140613" 3050 2948 "Live" "Genomic" 1432783 722.091013523736 50.2758842516028 2425.95012752716 2070.12085161747 845.653450731425
"80" "Live-PL2-A01" "ZNF444" "CRL2097_Run140613" 0 2059 "Live" "Genomic" 1432783 0 50.2758842516028 2425.95012752716 2070.12085161747 0
"81" "Live-PL2-A01" "DNMT1" "CRL2097_Run140613" 284 5359 "Live" "Genomic" 1432783 36.9874305785276 50.2758842516028 2425.95012752716 2070.12085161747 160.185095697899
"82" "Live-PL2-A01" "FTL" "CRL2097_Run140613" 23835 867 "Live" "Genomic" 1432783 19187.3783266335 50.2758842516028 2425.95012752716 2070.12085161747 5305.48741101492
"83" "Live-PL2-A01" "UBC" "CRL2097_Run140613" 741 2583 "Live" "Genomic" 1432783 200.22273149536 50.2758842516028 2425.95012752716 2070.12085161747 412.367955339871
"84" "Live-PL2-A01" "SUPT5H" "CRL2097_Run140613" 51 3838 "Live" "Genomic" 1432783 9.2743778523024 50.2758842516028 2425.95012752716 2070.12085161747 73.8332796040653
"85" "Live-PL2-A01" "RBM3" "CRL2097_Run140613" 530 4425 "Live" "Genomic" 1432783 83.5953604275281 50.2758842516028 2425.95012752716 2070.12085161747 252.870338526473
"86" "Live-PL2-A01" "BABAM1" "CRL2097_Run140613" 6 1489 "Live" "Genomic" 1432783 2.81239380532822 50.2758842516028 2425.95012752716 2070.12085161747 37.853657658821
"87" "Live-PL2-A01" "FUCA1" "CRL2097_Run140613" 280 2109 "Live" "Genomic" 1432783 92.661863862608 50.2758842516028 2425.95012752716 2070.12085161747 267.877302080085
"88" "Live-PL2-A01" "ICAM1" "CRL2097_Run140613" 0 3239 "Live" "Genomic" 1432783 0 50.2758842516028 2425.95012752716 2070.12085161747 0
"89" "Live-PL2-A01" "PABPC1" "CRL2097_Run140613" 964 2845 "Live" "Genomic" 1432783 236.490850532683 50.2758842516028 2425.95012752716 2070.12085161747 452.653745035844
"90" "Live-PL2-A01" "LUM" "CRL2097_Run140613" 1545 2113 "Live" "Genomic" 1432783 510.327024067408 50.2758842516028 2425.95012752716 2070.12085161747 696.292021177052
