cellType	gene	date	cellNumber	variable	value
CRL2097	EEF2	120501	1	volume	2701.728817
CRL2097	EEF2	120501	1	area	2475.250000
CRL2097	EEF2	120501	1	numCyclin	6
CRL2097	EEF2	120501	1	cellCycleStage	G1
CRL2097	EEF2	120501	1	totalRNA	956
CRL2097	EEF2	120501	1	nucRNA	63
CRL2097	EEF2	120501	1	cytoRNA	893
CRL2097	EEF2	120501	1	totalGAPDH	2706
CRL2097	EEF2	120501	1	nucGAPDH	127
CRL2097	EEF2	120501	1	cytoGAPDH	2579
CRL2097	EEF2	120501	1	nucArea	244.609375
CRL2097	EEF2	120501	1	numTxnSites	1
CRL2097	EEF2	120501	1	avgIntron	1322.048649
CRL2097	EEF2	120501	1	avgExon	3415.201492
CRL2097	EEF2	120501	1	numRnaPerTxnSiteAvgExon	3.997477
CRL2097	EEF2	120501	2	volume	3191.062796
CRL2097	EEF2	120501	2	area	3568.609375
CRL2097	EEF2	120501	2	numCyclin	187
CRL2097	EEF2	120501	2	cellCycleStage	G2
CRL2097	EEF2	120501	2	totalRNA	1291
CRL2097	EEF2	120501	2	nucRNA	80
CRL2097	EEF2	120501	2	cytoRNA	1211
CRL2097	EEF2	120501	2	totalGAPDH	3896
CRL2097	EEF2	120501	2	nucGAPDH	283
CRL2097	EEF2	120501	2	cytoGAPDH	3613
CRL2097	EEF2	120501	2	nucArea	295.390625
CRL2097	EEF2	120501	2	numTxnSites	2
CRL2097	EEF2	120501	2	avgIntron	1156.095080
CRL2097	EEF2	120501	2	avgExon	2154.807688
CRL2097	EEF2	120501	2	numRnaPerTxnSiteAvgExon	1.804323
CRL2097	EEF2	120501	3	volume	1310.284332
CRL2097	EEF2	120501	3	area	1682.078125
CRL2097	EEF2	120501	3	numCyclin	15
CRL2097	EEF2	120501	3	cellCycleStage	G1
CRL2097	EEF2	120501	3	totalRNA	871
CRL2097	EEF2	120501	3	nucRNA	50
CRL2097	EEF2	120501	3	cytoRNA	821
CRL2097	EEF2	120501	3	totalGAPDH	1948
CRL2097	EEF2	120501	3	nucGAPDH	149
CRL2097	EEF2	120501	3	cytoGAPDH	1799
CRL2097	EEF2	120501	3	nucArea	188.468750
CRL2097	EEF2	120501	3	numTxnSites	2
CRL2097	EEF2	120501	3	avgIntron	1325.807997
CRL2097	EEF2	120501	3	avgExon	1247.256734
CRL2097	EEF2	120501	3	numRnaPerTxnSiteAvgExon	1.088945
CRL2097	EEF2	120501	4	volume	2667.370626
CRL2097	EEF2	120501	4	area	3426.109375
CRL2097	EEF2	120501	4	numCyclin	383
CRL2097	EEF2	120501	4	cellCycleStage	G2
CRL2097	EEF2	120501	4	totalRNA	1287
CRL2097	EEF2	120501	4	nucRNA	44
CRL2097	EEF2	120501	4	cytoRNA	1243
CRL2097	EEF2	120501	4	totalGAPDH	3714
CRL2097	EEF2	120501	4	nucGAPDH	138
CRL2097	EEF2	120501	4	cytoGAPDH	3576
CRL2097	EEF2	120501	4	nucArea	264.921875
CRL2097	EEF2	120501	4	numTxnSites	1
CRL2097	EEF2	120501	4	avgIntron	750.208475
CRL2097	EEF2	120501	4	avgExon	2264.936319
CRL2097	EEF2	120501	4	numRnaPerTxnSiteAvgExon	1.917254
CRL2097	EEF2	120501	5	volume	2126.453426
CRL2097	EEF2	120501	5	area	1632.984375
