gene_name	transcript_id	halflife	FPKM	pos	neg
AMH	NM_000479	3.45 	0.913491	0.094	0.143
ATF5	NM_012068	3.64 	21.362	0.042	0.083
AXL	NM_001699	24.00 	91.1104	0.467	0.786
BCL3	NM_005178	2.53 	9.09704	0.054	0.083
C19orf48	NM_199249	2.78 	16.4382	0.313	0.104
CLEC11A	NM_002975	N.D.	77.4134	0.289	0.3
EMP3	NM_001425	>24	261.007	0.453	0.931
FTL	NM_000146	>24	4818.76	0.019	0.188
HNRNPL	NM_001533	18.55 	43.1523	0.393	0.5
IER2	NM_004907	2.20 	28.0623	0.191	0.868
IRF3	NM_001571	6.93 	20.7322	0.25	0.357
MIDN	NM_177401	2.56 	24.0789	0.173	0.5
MRPL34	NM_023937	6.22 	35.128	0.167	0.467
MYADM	NM_138373	8.25 	161.401	0.063	0.234
P2RY11	NM_002566	8.80 	1.48388	0.131	0.214
PPP1R15A	NM_014330	2.82 	47.0356	0.219	0.357
PVR	NM_006505	4.97 	17.8838	0.183	0.2
RPL13A	NM_012423	10.00 	208.421	0.367	0.711
RPL13A	NM_012423	10.00 	208.421	0.275	0.689
RPL18	NM_000979	>24	615.75	0.45	0.537
RPL28	NM_000991	6.22 	615.393	0.5	0.634
RPL36	NM_015414	>24	448.448	0.333	0.5
RPS28	NM_001031	>24	2.33692	0.214	0.5
SWSAP1	NM_175871	2.30 	0.569976	0.227	0.277
TPM4	NM_003290	11.37 	405.766	0.333	0.457
ZNF576	NM_024327	2.86 	4.37085	0.205	0.244
