gene_name	abund	hl	fpkm	freq_pos	freq_neg	corr_gapdh
GAPDH	2049	24	1274.27	0.2857	0.6538	0.92
EEF2	1102	16.11	1101.63	0.5	0.8667	0.8468
ACTN4	583	13.06	251.009	0.5192	0.5417	0.7272
LMNA	467	10.8	333.023	0.4167	0.4384	0.7874
TBCB	89	24	42.4412	0.3289	0.4186	0.7919
SUPT5H	55	9.43	35.3497	0.1488	0.2778	0.7316
ICAM1	12	2.47	6.12744	0	0.04	-0.0626
ZNF444	21	3.7	11.0982	0.2	0.359	0.6619
SLC1A5	189	8.88	181.41	0.1	0.44	0.5497
USF2	51	8.86	72.7782	0.1912	0.2292	0.7694
PABPC1	401	21.6	188.239	0.75	0.84	0.7651
LUM	308	24	596.356	0.0833	0.1905	0.2459
UBC	771	2.99	358.672	0.5893	0.8	0.6734
GAS6	338	2.74	394.388	0.2083	0.5	0.6531
GAA	10	3.23	55.7854	0.0769	0	0.4727
EBF1	1	5.6	29.3914	0	0.0385	0.0963
RBM3	152	24	34.4412	0.2857	0.413	0.5517
