 Classifier	Ethanol	Fixed	Live
1a	110644	118345	105428
1b	59838	61068	64389
1c	97499	99457	115633
2a	211884	220463	193862
2b	160891	141840	127718
2c	248438	240821	202913
2d	122350	147168	155964
2e	188305	190804	197764
3a	117219	199511	262095
3b	160585	177053	171782
3c	117112	86996	110096
3d	135082	139145	142938
3e	186694	205987	222737
3f	111308	113533	115608
4a	192408	124999	167052
4b	240648	197060	183880
4c	150235	134955	151552
4d	184900	183596	224562
4e	174335	211044	195378
4f	48426	67900	85011
4g	157663	129120	126917
