gene	value	lower	upper	measure
EEF2	0.130415303587408	0.0890997866401029	0.172818020443613	cvR2
GAPDH	0.213303377970967	0.149917034507113	0.273995940221457	cvR2
LMNA	0.135263658813055	0.0863027429129166	0.188679715267435	cvR2
MYC	0.576268734797585	0.372083436285326	0.772504754203022	cvR2
RND3	0.784500161635153	0.509080372916186	1.02028380292951	cvR2
TBCB	0.155834563472537	0.105293690580771	0.207366606301095	cvR2
UBC	0.153149147428299	0.117465132433186	0.190356387693166	cvR2
EEF2	0.0523054312230298	0.0342863940011761	0.0720134467860221	cvC2
GAPDH	0.0585328746025668	0.0425339037385768	0.0747319930730326	cvC2
LMNA	0.0964548637176125	0.058257604453263	0.139391097843722	cvC2
MYC	0.557545340971278	0.385861869937555	0.746462398034097	cvC2
RND3	0.627851322835202	0.344427303506574	0.849676999105208	cvC2
TBCB	0.100606226181871	0.0654899177583065	0.136322085854754	cvC2
UBC	0.0977838303364258	0.0753993640319117	0.120986948195433	cvC2
EEF2	0.0343160374711484	0.0207726513020603	0.0532070366332124	Nm
GAPDH	0.0426447287902473	0.026582384076974	0.0614401937807662	Nm
LMNA	0.0667569866508443	0.046313322208201	0.0895559422767361	Nm
MYC	0.49740741794482	0.340801941281654	0.670141015180224	Nm
RND3	0.56755018390624	0.358489689615228	0.791884591677766	Nm
TBCB	0.0710940510749311	0.0464913645544755	0.102167257044385	Nm
UBC	0.0914993187178947	0.0673790147655228	0.119772291650788	Nm
