Gene	MeanRNA	NoiseMeasure	Lower	Upper	NoiseFloor
ACTA2	48	0.21	0.16	0.28	0.040833333
ACTN4	179	0.15	0.1	0.22	0.025586592
BABAM1	30	0.08	0.05	0.12	0.053333333
EEF2	687	0.05	0.04	0.07	0.021455604
FUCA1	4	0.45	0.24	0.72	0.27
GAPDH	1476	0.04	0.02	0.07	0.020677507
GAS6	873	0.11	0.04	0.21	0.021145475
IER2	29	0.32	0.2	0.49	0.054482759
KDM5A	11	0.08	0.03	0.16	0.110909091
LUM	569	0.25	0.15	0.38	0.021757469
MYC	35	0.65	0.3	1	0.048571429
PABPC1	389	0.07	0.04	0.1	0.022570694
SLC1A5	129	0.26	0.16	0.39	0.027751938
TBCB	40	0.13	0.08	0.17	0.045
UBC	596	0.09	0.05	0.13	0.021677852
ZNF444	12	0.21	0.14	0.28	0.103333333
