GAPDH_volume	EEF2_volume	Half_GAPDH	Extra_pts	Half_plus_extra_pts	GAPDH	EEF2
2701.7	2223.6	2525.1	2587.2	2478.6	2579	893
3191.1	2808.8	3222.1	3253.9	3187.2	3613	1211
1310.3	1240.6	1467.7	1278.6	1413.3	1799	821
2667.4	2209.1	2568.5	2626.7	2547.3	3576	1243
2126.5	1914.5	2030.5	2084.2	1992.1	1647	666
2919.2	2713.1	2724.6	2834.5	2571.9	3610	1270
1480.7	1045.2	1576.4	1449.7	1575.3	1835	791
2312.9	2081.6	2271.6	2232.6	2246.6	2630	942
1186.4	1220.6	1213.4	1160.4	1211.8	1603	584
2550.2	2342.1	2160.5	2436.2	2053.5	2788	1295
4859.6	4649.1	4605.8	4791.7	4455.6	5373	2149
2467.7	2250.6	2449.3	2431.9	2310.2	2842	1116
4391.4	3996.4	4226.3	4457.2	4172.9	4640	1870
1416.1	1128.3	1455.1	1396.9	1416.6	1790	730
1322.1	1039	1306.7	1284.9	1256.9	2112	903
1738.3	1544.8	1841.7	1652.1	1754.2	2218	914
1687.2	1502.6	1673.1	1645.8	1573.4	2162	961
1838.6	1586.4	1765.2	1784.3	1745.1	2671	1173
1005.2	855.96	1128.4	991.91	1075.8	1602	784
3594.9	3027.9	3491.5	3639.3	3501.4	4684	1941
3260.2	2059.9	3388.9	3229.8	3175.5	2954	600
2346.5	1813.1	2323.2	2274.1	2213.9	2862	1292
1549.4	1337.3	1586.5	1560.6	1535.8	2066	566
1752.6	1365.2	1865	1686.6	1817.1	2357	864
1769.6	1528.2	1450.4	1736.9	1475.1	2029	708
3922.2	3574.2	3617.8	3882.4	3580.2	3602	1299
2624.3	2387.4	2519.5	2637.5	2436	2860	986
3599.9	3361.7	3220.8	3537.2	3178.7	4831	1714
2379.1	2239.2	2066.7	2371	2051	2382	1031
2003	2003.8	1971	1990.5	2023.2	1841	874
3537.4	3275.8	3282.8	3443.3	3305.7	3074	1180
4617.7	4453.2	4515.6	4517.3	4277	4015	1693
1620.1	1489	1682.3	1577.8	1623	1746	871
1023.7	748.9	1141	1009.4	1133.4	1611	504
899.23	785.65	969.46	885.9	885.95	1142	337
3171.5	2769.2	2512.3	3108.7	2471.4	3436	1289
2951.3	2472.5	2872.6	2937.8	2859.4	3148	1146
2472.4	2352.2	2496	2467.8	2452.8	3242	1137
4864.8	4201.8	4849.8	4867.8	4507.1	3768	1651
1339.8	1002.6	1402.4	1294.1	1336.4	2040	771
1489.5	1405.6	1530.8	1469.2	1504.7	2442	831
