objArrayNum,objNum,isGood,anatomicalStructure,area,alexaZdiff,tmrZdiff,numnuclei,alexaspots,tmrspots
1,1,true,gonad,234923,31,33,225,10702,19451
2,1,true,gonad,517509,32,33,402,1530,35927
2,2,false,gonad,24119,33,31,20,648,400
3,1,true,head,443682,29,33,233,1558,9488
4,1,true,gonad,634171,21,22,211,16319,54921
5,1,false,gonad,194949,17,19,41,973,14296
6,1,true,head,221344,21,17,89,268,4071
6,2,false,gonad,175806,24,17,121,3182,4653
7,1,true,gonad,366675,17,17,225,9946,14653
7,2,false,gonad,165885,16,21,109,120,9961
8,1,true,gonad,379493,19,20,270,11301,14931
9,1,true,gonad,217260,16,15,98,6065,13366
9,2,false,gonad,126866,13,16,77,165,3030
10,1,true,head,285012,48,56,274,373,6433
11,1,true,gonad,268218,55,42,236,2698,11135
12,1,true,gonad,175522,57,56,256,4127,9111
12,2,false,gonad,76401,55,38,67,21,483
13,1,false,gonad,34654,47,56,40,305,385
13,2,true,gonad,218142,44,51,163,4313,21827
14,1,false,gonad,227369,26,21,146,4125,10006
14,2,false,gonad,45669,19,22,32,1896,6247
15,1,false,gonad,68334,26,26,69,2754,4517
15,2,true,gonad,169581,23,24,137,754,3974
16,1,true,gonad,341400,26,26,238,4247,15338
16,2,false,gonad,47609,26,26,64,1501,1182
17,1,false,gonad,47249,26,26,24,1698,3793
17,2,true,gonad,325513,26,26,120,6673,33570
18,1,true,head,364015,26,26,189,8834,8337
