objArrayNum,objNum,isGood,anatomicalStructure,area,alexaZdiff,tmrZdiff,numnuclei,alexaspots,tmrspots
1,1,true,head,304384,23,21,239,4395,8629
2,1,false,gonad,119731,24,23,66,3092,9176
2,2,true,gonad,58422,21,21,36,2079,4883
2,3,true,gonad,94113,20,21,54,1024,4035
3,1,false,gonad,3701,24,21,4,412,228
3,2,true,gonad,43340,19,17,42,848,1063
3,3,true,gonad,41551,22,20,27,1053,1734
4,1,false,gonad,24242,23,18,19,1260,1263
4,2,true,gonad,29437,17,18,28,840,2266
4,3,true,gonad,65819,23,21,42,2809,5056
5,1,false,gonad,82597,23,23,44,1003,5739
6,1,true,gonad,63128,18,20,37,2037,4369
6,2,false,gonad,27621,16,24,12,79,2084
6,3,false,gonad,78899,18,25,57,3256,3418
7,1,false,gonad,75371,25,26,53,2878,6469
7,2,true,gonad,41046,20,24,37,1397,3798
7,3,true,gonad,21727,20,24,23,902,1961
7,4,false,gonad,65374,21,21,65,1620,1365
8,1,true,gonad,102500,21,26,114,3453,4072
8,2,false,gonad,17037,24,25,2,519,1660
9,1,false,gonad,84150,23,24,80,2873,6049
9,2,true,gonad,141269,23,25,104,6306,13573
10,1,true,head,456198,20,23,241,2392,11490
11,1,true,gonad,144011,23,25,81,9539,16243
11,2,false,gonad,33433,22,22,34,2576,2258
12,1,false,gonad,45556,22,26,37,1060,3100
12,2,false,gonad,43275,22,25,36,560,2152
12,3,true,gonad,25348,22,22,17,481,1339
13,1,false,gonad,46095,24,24,27,1608,2548
13,2,true,gonad,210254,25,25,105,8472,17154
14,1,true,head,355845,19,24,204,960,9002
15,1,true,gonad,50212,21,26,17,1406,2628
16,1,true,gonad,54903,21,23,42,2337,3425
16,2,false,gonad,49615,23,24,35,1380,3400
16,3,false,gonad,59117,25,25,30,2129,3854
17,1,true,gonad,45764,20,24,62,701,2680
17,2,true,gonad,69704,20,26,74,2641,5022
18,1,true,gonad,50996,23,25,33,2377,4406
18,2,true,gonad,9721,22,23,6,247,643
18,3,false,gonad,20931,24,26,22,690,1447
19,1,false,head,375401,26,26,201,14164,9015
20,1,true,gonad,78803,24,24,43,4935,10210
20,2,false,gonad,83856,24,24,53,5167,9063
21,1,false,gonad,48509,24,24,52,1823,2585
21,2,true,gonad,75218,24,24,83,3677,6240
21,3,true,gonad,79376,24,24,50,1901,7931
22,1,false,gonad,97150,22,24,75,4239,8300
22,2,true,gonad,72068,21,24,72,3541,3312
23,1,true,gonad,219918,24,24,112,9553,19450
23,2,false,gonad,93683,24,24,79,3654,9029
24,1,true,head,321721,20,24,202,637,7163
