objArrayNum,WormNum,Fixed,Imaged,Strain
1,1,140625,140702,CB502
2,1,140625,140702,CB502
3,1,140625,140702,CB502
4,1,140625,140702,CB502
5,2,140625,140702,CB502
6,2,140625,140702,CB502
7,2,140625,140702,CB502
8,2,140625,140702,CB502
9,3,140625,140702,CB502
10,3,140625,140702,CB502
11,3,140625,140702,CB502
12,3,140625,140702,CB502
13,4,140625,140702,CB502
14,4,140625,140702,CB502
15,4,140625,140702,CB502
16,4,140625,140702,CB502
17,5,140625,140702,CB502
18,5,140625,140702,CB502
19,5,140625,140702,CB502
20,5,140625,140702,CB502
21,6,140625,140702,CB502
22,6,140625,140702,CB502
23,6,140625,140702,CB502
24,6,140625,140702,CB502
25,7,140625,140702,CB502
26,7,140625,140702,CB502
27,7,140625,140702,CB502
