gene	Nm_fish	lower_fish	upper_fish	Nm_seq	lower_seq	upper_seq
ACTA2	1.6156069841748	0.974398309415409	2.5046377165237	1.11909620214354	0.719610945547553	1.5849351626619
ACTN4	0.085740212531694	0.0545134453579375	0.119326581710934	0.0855644161381001	0.0492820389046	0.128434564311895
BABAM1	0.0672810177266054	0.0444545876252512	0.0922766270197015	0.432035396732595	0.267394182948916	0.633483732504033
DNMT1	0.140622849338915	0.0549985171358328	0.243139164202846	0.242481876351756	0.153118899760231	0.355636667914075
EEF2	0.0340309874961861	0.0206768976220521	0.0528068313738763	0.0554779727466762	0.0319218734887485	0.0828782201616814
FTL	0.210564385562968	0.135195539220474	0.297454123609989	0.145509323168326	0.0897243042318774	0.213231111149342
FUCA1	0.455086371235628	0.287209637058912	0.665532592140655	8.14063228231095	2.98950698755671	17.3116293772975
GAPDH	0.0429042762025587	0.0263454524939472	0.061592625495431	0.0120589492076941	0.00751663686278135	0.0170898685049293
GAS6	0.266512452237052	0.185257376364161	0.35726188548986	0.290133211388028	0.150927800938663	0.448747897511545
ICAM1	1.47723793609621	0.881898784663144	2.26519722183034	6.29018498272353	2.76097731958548	14.1766788098817
IER2	0.219919768392761	0.166746814833228	0.277635412693578	0.406525370528909	0.250164685902719	0.621393518203889
KDM5A	0.100348587366026	0.0711465688128914	0.133998306538804	0.285083461649409	0.173615135321638	0.427752050528054
KDM5B	0.253822761159394	0.179934602766006	0.335837014930593	0.536232948318219	0.325168090533763	0.804742809072848
LMNA	0.0668499349881277	0.0461921124840705	0.0898909924188347	0.0977739330208348	0.0543504449990602	0.151102240040311
LUM	0.583055581441981	0.366962254480137	0.812436012458631	0.37643343126995	0.219598640418659	0.540160107709925
MYC	0.498291463433263	0.343820702393504	0.664663747834746	0.928301331586097	0.567506358550483	1.40397532696184
PABPC1	0.0528063970479112	0.0352273098401796	0.0714452336287513	0.0289105343444512	0.0173791600067997	0.0430620345795829
RBM3	0.073580730724284	0.0456484622126625	0.105607785775956	0.0364220443970609	0.0210053017963843	0.0564415685800551
RND3	0.567050663622234	0.364501831884725	0.791081546999983	0.215438732763861	0.117331280297014	0.339333149060795
SLC1A5	0.145891838353791	0.101110383117206	0.193677516726479	0.137094376970191	0.0799248904482334	0.210727394576967
SUPT5H	0.063784831071095	0.043816547436089	0.088751151564208	0.29845273145382	0.202769437119789	0.408217250370988
TBCB	0.0709089270864628	0.0464541862153893	0.100787213787697	0.196655561200416	0.12431157506466	0.287209111897114
UBC	0.0915031820039296	0.0666601578444804	0.120395850714117	0.0417359015820358	0.0227656262192319	0.0644179602264262
USF2	0.0758516109337399	0.0495972489792025	0.105585061213214	3.0603137350766	1.6006779057636	5.24898693626896
ZNF444	0.136352686483958	0.107062174487103	0.169317738057362	2.8965165592804	1.3994149136009	5.26818619726339
