gene_name	transcript_id	halflife	FPKM
A1BG	NM_130786	N.D.	3.10358
A1CF	NM_138932	N.D.	0
A1CF	NM_138933	N.D.	0
A1CF	NM_014576	N.D.	0
A2M	NM_000014	N.D.	30.3722
A2ML1	NM_144670	N.D.	0.00873232
A4GALT	NM_017436	3.51 	6.73799
A4GNT	NM_016161	N.D.	0.197625
AAAS	NM_015665	16.98 	18.7211
AACS	NM_023928	3.45 	10.6173
AADAC	NM_001086	N.D.	0
AADACL2	NM_207365	N.D.	0
AADACL4	NM_001013630	N.D.	0.318686
AADAT	NM_016228	8.00 	2.43326
AADAT	NM_182662	8.00 	2.43326
AAED1	NM_153698	5.00 	14.4746
AAGAB	NM_024666	8.46 	13.9473
AAK1	NM_014911	3.23 	2.39455
AAMDC	NM_024684	2.63 	25.4172
AAMP	NM_001087	13.12 	40.8468
AANAT	NM_001088	N.D.	0.161424
AAR2	NM_015511	2.74 	14.2017
AARD	NM_001025357	N.D.	3.25723
AARS	NM_001605	10.06 	54.1957
AARS2	NM_020745	3.85 	2.63388
AASDH	NM_181806	2.99 	2.36105
AASDHPPT	NM_015423	5.64 	12.0216
AASS	NM_005763	N.D.	2.40767
AATF	NM_012138	6.55 	20.5939
ABAT	NM_020686	N.D.	0.828222
ABAT	NM_000663	N.D.	0.828222
ABCA1	NM_005502	2.67 	5.3169
ABCA10	NM_080282	N.D.	0.173276
ABCA12	NM_015657	N.D.	0.003552
ABCA12	NM_173076	N.D.	0.003552
ABCA13	NM_152701	N.D.	0.00318444
ABCA2	NM_212533	4.50 	11.7265
ABCA2	NM_001606	4.50 	11.7265
ABCA3	NM_001089	N.D.	2.18944
ABCA4	NM_000350	N.D.	0.0858533
ABCA5	NM_018672	N.D.	3.72354
ABCA5	NM_172232	N.D.	3.72354
ABCA6	NM_080284	N.D.	0.152724
ABCA7	NM_019112	3.64 	1.18014
ABCA8	NM_007168	2.82 	0.220722
ABCA9	NM_080283	N.D.	0.105879
ABCB1	NM_000927	N.D.	0.0375699
ABCB10	NM_012089	8.86 	6.44726
ABCB11	NM_003742	N.D.	0
ABCB4	NM_000443	N.D.	1.29237
ABCB4	NM_018850	N.D.	1.29237
ABCB4	NM_018849	N.D.	1.29237
ABCB5	NM_178559	N.D.	0.140895
ABCB6	NM_005689	3.03 	11.2316
ABCB7	NM_004299	20.87 	5.9328
ABCB8	NM_007188	6.50 	6.48342
ABCB9	NM_203444	6.00 	1.70196
ABCB9	NM_019624	6.00 	1.70196
ABCB9	NM_019625	6.00 	1.70196
ABCC1	NM_004996	5.07 	16.1692
ABCC10	NM_033450	2.82 	7.79074
ABCC11	NM_032583	N.D.	0
ABCC11	NM_033151	N.D.	0
ABCC11	NM_145186	N.D.	0
ABCC12	NM_033226	N.D.	0
ABCC2	NM_000392	2.56 	0.0433743
ABCC3	NM_003786	2.86 	11.7066
ABCC4	NM_005845	3.39 	5.57132
ABCC5	NM_005688	3.08 	4.87556
ABCC5	NM_001023587	3.08 	4.87556
ABCC6	NM_001171	N.D.	0.779166
ABCC8	NM_000352	N.D.	0
ABCC9	NM_005691	N.D.	0.8274
ABCC9	NM_020297	N.D.	0.8274
ABCD1	NM_000033	8.64 	6.0558
ABCD2	NM_005164	N.D.	0
ABCD3	NM_002858	9.43 	10.2031
ABCD4	NM_005050	3.03 	5.21544
ABCE1	NM_001040876	9.12 	8.67696
ABCE1	NM_002940	9.12 	8.67696
ABCF2	NM_005692	8.80 	19.5389
ABCF2	NM_007189	8.80 	19.5389
ABCF3	NM_018358	4.15 	19.0301
ABCG1	NM_004915	6.06 	0.0518666
ABCG1	NM_207628	6.06 	0.0518666
ABCG1	NM_016818	6.06 	0.0518666
ABCG1	NM_207629	6.06 	0.0518666
ABCG1	NM_207174	6.06 	0.0518666
ABCG1	NM_207627	6.06 	0.0518666
ABCG2	NM_004827	N.D.	0.183703
ABCG4	NM_022169	N.D.	0.297536
ABCG5	NM_022436	N.D.	0
ABCG8	NM_022437	N.D.	0
ABHD1	NM_032604	2.35 	0
ABHD10	NM_018394	3.45 	6.90381
ABHD11	NM_148912	3.70 	5.09894
ABHD11	NM_148913	3.70 	5.09894
ABHD12	NM_015600	10.53 	50.5545
ABHD12	NM_001042472	10.53 	50.5545
ABHD12B	NM_181814	N.D.	0
ABHD13	NM_032859	2.13 	2.30565
ABHD14A	NM_015407	>24	11.2541
ABHD14B	NM_032750	3.28 	21.7782
ABHD15	NM_198147	3.13 	5.91025
ABHD16B	NM_080622	2.67 	3.2221
ABHD2	NM_152924	8.88 	5.33263
ABHD2	NM_007011	8.88 	5.33263
ABHD3	NM_138340	8.40 	1.54753
ABHD4	NM_022060	7.65 	56.1509
ABHD5	NM_016006	3.64 	7.62363
ABHD6	NM_020676	2.94 	4.26707
ABHD8	NM_024527	3.28 	10.1643
ABI1	NM_005470	5.33 	13.2247
ABI1	NM_001012750	5.33 	13.2247
ABI1	NM_001012751	5.33 	13.2247
ABI1	NM_001012752	5.33 	13.2247
ABI2	NM_005759	9.29 	6.13731
ABI3	NM_016428	N.D.	0.234422
ABI3BP	NM_015429	2.27 	4.14249
ABL1	NM_005157	3.85 	28.6473
ABL1	NM_007313	3.85 	28.6473
ABL2	NM_005158	2.67 	4.20194
ABL2	NM_007314	2.67 	4.20194
ABLIM1	NM_006720	12.00 	2.33459
ABLIM1	NM_001003407	12.00 	2.33459
ABLIM1	NM_001003408	12.00 	2.33459
ABLIM1	NM_002313	12.00 	2.33459
ABLIM2	NM_032432	2.41 	0.0582781
ABLIM3	NM_014945	9.50 	8.294
ABO	NM_020469	N.D.	0
ABP1	NM_001091	N.D.	0
ABR	NM_021962	5.90 	28.1969
ABR	NM_001092	5.90 	28.1969
ABRA	NM_139166	N.D.	0
ABT1	NM_013375	2.47 	7.90315
ABTB1	NM_032548	2.78 	13.347
ABTB1	NM_172027	2.78 	13.347
ABTB2	NM_145804	2.78 	3.52967
ACAA1	NM_001607	3.70 	25.7817
ACAA2	NM_006111	>24	13.8622
ACACA	NM_198839	3.13 	5.67385
ACACA	NM_198834	3.13 	5.67385
ACACA	NM_198836	3.13 	5.67385
ACACA	NM_198838	3.13 	5.67385
ACACA	NM_198837	3.13 	5.67385
ACACB	NM_001093	2.86 	0.498117
ACAD10	NM_025247	5.20 	3.96433
ACAD11	NM_032169	16.00 	7.05625
ACAD8	NM_014384	3.77 	6.72844
ACAD9	NM_014049	6.50 	12.8075
ACADL	NM_001608	N.D.	0
ACADM	NM_000016	11.17 	9.22577
ACADS	NM_000017	4.00 	5.71912
ACADSB	NM_001609	N.D.	2.13156
ACADVL	NM_001033859	3.57 	53.3089
ACADVL	NM_000018	3.57 	53.3089
ACAN	NM_013227	N.D.	1.86533
ACAN	NM_001135	N.D.	1.86533
ACAP1	NM_014716	2.35 	0.355248
ACAP2	NM_012287	6.11 	8.92396
ACAP3	NM_030649	4.20 	15.0939
ACAT1	NM_000019	>24	25.2377
ACAT2	NM_005891	>24	13.2112
ACBD3	NM_022735	3.28 	21.4656
ACBD4	NM_024722	2.56 	4.97229
ACBD5	NM_001042473	3.28 	6.26307
ACBD5	NM_145698	3.28 	6.26307
ACBD6	NM_032360	3.51 	32.3305
ACBD7	NM_001039844	N.D.	0.178222
ACCS	NM_032592	N.D.	3.04442
ACCSL	NM_001031854	N.D.	0
ACD	NM_022914	14.40 	5.3806
ACE	NM_000789	N.D.	2.03507
ACE	NM_152830	N.D.	2.03507
ACE2	NM_021804	N.D.	0
ACER1	NM_133492	N.D.	0
ACER2	NM_001010887	N.D.	0.331776
ACER3	NM_018367	3.85 	3.52041
ACHE	NM_015831	N.D.	0.0862845
ACHE	NM_000665	N.D.	0.0862845
ACIN1	NM_014977	8.00 	38.3988
ACLY	NM_001096	18.00 	39.1293
ACLY	NM_198830	18.00 	39.1293
ACMSD	NM_138326	N.D.	0
ACN9	NM_020186	2.50 	2.97688
ACO1	NM_002197	>24	37.056
ACO2	NM_001098	8.00 	26.1278
ACOT1	NM_001037161	N.D.	4.5832
ACOT11	NM_015547	2.60 	0.616331
ACOT11	NM_147161	2.60 	0.616331
ACOT12	NM_130767	N.D.	0.0835206
ACOT13	NM_018473	8.57 	4.63143
ACOT2	NM_006821	9.71 	20.9806
ACOT4	NM_152331	N.D.	0.956769
ACOT6	NM_001037162	N.D.	0.0407839
ACOT7	NM_181864	21.33 	20.7221
ACOT7	NM_181866	21.33 	20.7221
ACOT7	NM_181865	21.33 	20.7221
ACOT7	NM_007274	21.33 	20.7221
ACOT8	NM_005469	8.89 	15.6632
ACOT9	NM_001033583	10.83 	20.9781
ACOT9	NM_001037171	10.83 	20.9781
ACOX1	NM_004035	10.38 	6.11835
ACOX1	NM_007292	10.38 	6.11835
ACOX2	NM_003500	N.D.	5.18669
ACOX3	NM_003501	3.28 	5.57979
ACP1	NM_004300	10.46 	29.1551
ACP1	NM_001040649	10.46 	29.1551
ACP1	NM_007099	10.46 	29.1551
ACP2	NM_001610	11.38 	24.2012
ACP5	NM_001611	N.D.	26.8781
ACP6	NM_016361	3.17 	4.41493
ACPL2	NM_152282	2.82 	2.41502
ACPL2	NM_001037172	2.82 	2.41502
ACPP	NM_001099	N.D.	0
ACPT	NM_033068	N.D.	0
ACR	NM_001097	N.D.	0
ACRBP	NM_032489	N.D.	0.0205344
ACRC	NM_052957	2.47 	0.542402
ACRV1	NM_020107	N.D.	0.0383641
ACRV1	NM_020108	N.D.	0.0383641
ACRV1	NM_001612	N.D.	0.0383641
ACRV1	NM_020069	N.D.	0.0383641
ACSBG1	NM_015162	N.D.	0.187329
ACSBG2	NM_030924	N.D.	0.0116793
ACSF2	NM_025149	3.13 	9.82425
ACSF3	NM_174917	3.85 	4.24937
ACSL1	NM_001995	9.95 	10.5958
ACSL3	NM_004457	5.54 	19.5878
ACSL3	NM_203372	5.54 	19.5878
ACSL4	NM_022977	8.69 	14.4301
ACSL4	NM_004458	8.69 	14.4301
ACSL5	NM_016234	N.D.	0.256821
ACSL5	NM_203380	N.D.	0.256821
ACSL5	NM_203379	N.D.	0.256821
ACSL6	NM_015256	N.D.	0.00446874
ACSL6	NM_001009185	N.D.	0.00446874
ACSM1	NM_052956	N.D.	0
ACSM2A	NM_001010845	N.D.	0
ACSM2B	NM_182617	N.D.	0
ACSM3	NM_202000	N.D.	0.079117
ACSM3	NM_005622	N.D.	0.079117
ACSM5	NM_017888	N.D.	0
ACSS1	NM_032501	N.D.	2.1994
ACSS2	NM_018677	11.16 	10.8656
ACSS2	NM_001076552	11.16 	10.8656
ACSS3	NM_024560	N.D.	3.37751
ACTA1	NM_001100	N.D.	0.318903
ACTA2	NM_001613	3.23 	347.748
ACTB	NM_001101	21.47 	2734.44
ACTBL2	NM_001017992	N.D.	0
ACTC1	NM_005159	8.00 	0.447197
ACTG1	NM_001614	12.35 	1960.2
ACTG2	NM_001615	N.D.	15.2408
ACTL10	NM_001024675	2.04 	0.95166
ACTL6A	NM_178042	13.28 	12.9639
ACTL6A	NM_177989	13.28 	12.9639
ACTL6A	NM_004301	13.28 	12.9639
ACTL6B	NM_016188	N.D.	0
ACTL7A	NM_006687	N.D.	0
ACTL7B	NM_006686	N.D.	0
ACTL8	NM_030812	17.28 	0.0454841
ACTL9	NM_178525	N.D.	0
ACTN1	NM_001102	9.45 	265.937
ACTN2	NM_001103	N.D.	0
ACTN3	NM_001104	N.D.	0
ACTN4	NM_004924	13.06 	251.009
ACTR10	NM_018477	11.66 	22.7225
ACTR1A	NM_005736	6.96 	48.9876
ACTR1B	NM_005735	3.08 	30.2515
ACTR2	NM_005722	22.56 	64.3076
ACTR2	NM_001005386	22.56 	64.3076
ACTR3	NM_005721	13.76 	97.4233
ACTR3B	NM_020445	2.94 	2.05775
ACTR3B	NM_001040135	2.94 	2.05775
ACTR5	NM_024855	4.69 	1.94441
ACTR6	NM_022496	2.99 	5.9484
ACTR8	NM_022899	3.23 	7.74068
ACTRT1	NM_138289	N.D.	0
ACTRT2	NM_080431	N.D.	0
ACTRT3	NM_032487	2.33 	2.4024
ACVR1	NM_001105	2.82 	26.5602
ACVR1B	NM_004302	2.56 	6.43928
ACVR1B	NM_020327	2.56 	6.43928
ACVR1B	NM_020328	2.56 	6.43928
ACVR1C	NM_145259	N.D.	0.0031646
ACVR2A	NM_001616	2.33 	3.029
ACVR2B	NM_001106	3.03 	0.361638
ACVRL1	NM_000020	N.D.	6.94581
ACY1	NM_000666	>24	12.1072
ACY3	NM_080658	N.D.	0
ACYP1	NM_203488	2.99 	4.39638
ACYP1	NM_001107	2.99 	4.39638
ACYP2	NM_138448	3.23 	8.53569
ADA	NM_000022	4.57 	7.49654
ADAD1	NM_139243	N.D.	0
ADAD2	NM_139174	N.D.	0
ADAL	NM_001012969	2.90 	1.77882
ADAM10	NM_001110	10.43 	25.5186
ADAM11	NM_002390	2.60 	0.849771
ADAM12	NM_021641	6.00 	10.0515
ADAM12	NM_003474	6.00 	10.0515
ADAM15	NM_207191	>24	28.4693
ADAM15	NM_207196	>24	28.4693
ADAM15	NM_207194	>24	28.4693
ADAM15	NM_207195	>24	28.4693
ADAM15	NM_003815	>24	28.4693
ADAM15	NM_207197	>24	28.4693
ADAM17	NM_003183	4.55 	7.53523
ADAM18	NM_014237	N.D.	0
ADAM19	NM_033274	6.93 	11.2649
ADAM2	NM_001464	N.D.	0
ADAM20	NM_003814	N.D.	0
ADAM21	NM_003813	N.D.	0.0354859
ADAM22	NM_004194	2.53 	0.0274803
ADAM22	NM_016351	2.53 	0.0274803
ADAM22	NM_021723	2.53 	0.0274803
ADAM22	NM_021722	2.53 	0.0274803
ADAM22	NM_021721	2.53 	0.0274803
ADAM23	NM_003812	N.D.	0.797946
ADAM28	NM_014265	N.D.	0.0175041
ADAM28	NM_021777	N.D.	0.0175041
ADAM29	NM_014269	N.D.	0
ADAM30	NM_021794	N.D.	0
ADAM32	NM_145004	2.56 	0.105768
ADAM33	NM_025220	N.D.	59.1987
ADAM33	NM_153202	N.D.	59.1987
ADAM7	NM_003817	N.D.	0
ADAM8	NM_001109	2.20 	0.312534
ADAM9	NM_003816	>24	76.89
ADAMDEC1	NM_014479	N.D.	0
ADAMTS1	NM_006988	2.35 	90.8601
ADAMTS10	NM_030957	2.53 	3.0479
ADAMTS12	NM_030955	N.D.	2.91767
ADAMTS13	NM_139026	N.D.	1.3039
ADAMTS13	NM_139027	N.D.	1.3039
ADAMTS13	NM_139025	N.D.	1.3039
ADAMTS14	NM_080722	N.D.	3.57006
ADAMTS14	NM_139155	N.D.	3.57006
ADAMTS15	NM_139055	2.27 	2.11783
ADAMTS16	NM_139056	N.D.	0.0274636
ADAMTS17	NM_139057	N.D.	0.00594603
ADAMTS18	NM_199355	N.D.	0
ADAMTS19	NM_133638	N.D.	0.0406757
ADAMTS2	NM_021599	N.D.	59.6126
ADAMTS2	NM_014244	N.D.	59.6126
ADAMTS20	NM_025003	N.D.	0
ADAMTS3	NM_014243	5.00 	0.151407
ADAMTS4	NM_005099	N.D.	0.83892
ADAMTS5	NM_007038	2.99 	7.25005
ADAMTS6	NM_197941	2.50 	1.18947
ADAMTS7	NM_014272	N.D.	6.87378
ADAMTS8	NM_007037	N.D.	0.046498
ADAMTS9	NM_182920	N.D.	0.155758
ADAMTSL1	NM_001040272	N.D.	0.311034
ADAMTSL1	NM_052866	N.D.	0.311034
ADAMTSL2	NM_014694	N.D.	0.0118178
ADAMTSL3	NM_207517	N.D.	0
ADAMTSL4	NM_019032	2.74 	29.4262
ADAMTSL4	NM_025008	2.74 	29.4262
ADAMTSL5	NM_213604	5.50 	9.70471
ADAP1	NM_006869	6.57 	2.70979
ADAP2	NM_018404	6.11 	0.160295
ADAR	NM_001025107	8.57 	30.9944
ADAR	NM_015840	8.57 	30.9944
ADAR	NM_001111	8.57 	30.9944
ADAR	NM_015841	8.57 	30.9944
ADARB1	NM_015833	3.39 	3.31656
ADARB1	NM_001112	3.39 	3.31656
ADARB1	NM_015834	3.39 	3.31656
ADARB2	NM_018702	2.70 	0
ADAT1	NM_012091	4.19 	3.44078
ADAT2	NM_182503	2.41 	0.324066
ADAT3	NM_138422	2.82 	1.86108
ADC	NM_052998	3.64 	1.11699
ADCK1	NM_020421	6.18 	3.53181
ADCK2	NM_052853	8.59 	11.5421
ADCK3	NM_020247	3.85 	5.42937
ADCK4	NM_024876	4.44 	6.99174
ADCK5	NM_174922	2.67 	5.45182
ADCY1	NM_021116	N.D.	0.0197075
ADCY10	NM_018417	N.D.	0
ADCY2	NM_020546	N.D.	0.0248255
ADCY3	NM_004036	5.63 	32.3892
ADCY4	NM_139247	N.D.	4.23911
ADCY5	NM_183357	N.D.	0.174253
ADCY6	NM_015270	3.39 	12.1648
ADCY6	NM_020983	3.39 	12.1648
ADCY7	NM_001114	3.77 	0.874963
ADCY8	NM_001115	N.D.	0
ADCY9	NM_001116	4.18 	20.6138
ADCYAP1	NM_001117	N.D.	0.0205357
ADCYAP1R1	NM_001118	N.D.	0
