Gene	MeanRna	NoiseMeasure	Lower	Upper	NoiseFloor	TranscriptionProbability	Halflife
ACTA2	281	1.09	0.45	1.8	0.023558719	0.2	3.23
ACTN4	546	0.06	0.03	0.09	0.021831502	0.65	13.06
BABAM1	52	0.05	0.02	0.09	0.039230769	0.45	24
DNMT1							11.27
EEF2	1117	0.03	0.017	0.05	0.020895255	0.75	16.11
FTL	2753	0.19	0.08	0.35	0.02036324	0.3	24
FUCA1	8	0.37	0.14	0.64	0.145	0.05	24
GAA	15	0.36	0.2	0.58	0.086666667	0.76	3.23
GAPDH	3287	0.04	0.02	0.07	0.020304229	0.65	24
GAS6	338	0.32	0.2	0.44	0.02295858		2.74
ICAM1	18	0.64	0.3	1.1	0.075555556	0.03	6.46
IER2	88	0.25	0.18	0.33	0.031363636		2.2
KDM5A	21	0.1	0.06	0.14	0.067619048	0.8	3.77
KDM5B	40	0.06	0.034	0.09	0.045	0.8	3.77
LMNA	438	0.06	0.026	0.1	0.022283105	0.5	10.8
LUM	347	0.53	0.3	0.8	0.022881844	0.15	24
MYC	59	0.57	0.3	0.9	0.036949153	0.44	2.15
PABPC1	383	0.04	0.02	0.066	0.022610966		21.6
RBM3	230	0.076	0.038	0.129	0.024347826		24
RND3	432	0.6	0.33	0.89	0.022314815	0.8	2.17
SLC1A5	196	0.12	0.06	0.2	0.025102041	0.43	8.88
SUPTH5	59	0.07	0.0335	0.12	0.036949153	0.3	9.43
TBCB	86	0.08	0.05	0.13	0.031627907	0.33	24
UBC	785	0.06	0.04	0.08	0.021273885	0.8	2.99
USF2	48	0.075	0.026	0.14	0.040833333	0.3	8.86
ZNF444	22	0.11	0.08	0.16	0.065454545	0.5	3.7
