gene_name	exontotal
PIAS1	2266
ING4	1440
MTMR2	4844
MCM5	2529
FAXDC2	2988
IFITM3	666
MAGEE1	3700
LRRC4C	3723
RPL36A	2906
EEF1D	3148
DPY19L2P1	2792
BDNF-AS	3039
HERC2P2	6040
SULT2A1	1981
CAV3	1429
CAV2	3303
RPS2	935
MBNL3	11831
BPI	1830
COL6A3	10652
GSTA3	906
SNAR-F	122
SNAR-G1	127
SNORD105	84
SNORD104	79
SNORD96B	71
SNORD94	136
KCNH2	5448
RDH10	3957
ABTB1	2010
ZNF501	3379
RHOH	3269
ISLR2	5008
ERAP2	5671
C16orf89	1899
ZCCHC3	2759
NUF2	1975
DCUN1D5	12724
C9orf64	2469
GARNL3	4047
RFPL2	2716
YAP1	5694
FCGR2A	2422
ATP2C2	3509
ALB	2232
SOX12	4657
MMP9	2323
MS4A2	3641
SNORD117	600
PRDM13	3200
MIR548W	68
MIR3179-3	249
PMM2	2315
PHKB	5661
RBM19	5621
GLDC	3784
SCNN1A	3808
BEX5	1013
IVD	4653
TBCK	5530
BANP	2680
SERPINA1	3681
HSFX2	3920
NCOA7	7051
ETV1	7619
FOSL1	1664
NREP	3399
PIWIL2	4075
TPTE2	2858
LAMA3	10625
CDK13	6961
CRYM	1496
CRYBB1	915
AGAP1	11348
ASXL2	7162
TTC17	4501
JRKL	3569
RTP5	1796
NUDCD1	4071
LILRA6	2305
ZMYND15	2434
NXNL2	1626
MOB3C	2980
B3GALNT1	3633
MFSD1	2469
GPANK1	24462
FAM124A	4897
KLHL7	4079
SLC26A6	2917
MRGPRX4	1443
FAM118B	2081
HSFY2	4604
GALM	2476
SYTL5	4864
LOC284865	2223
GFOD1	5147
TOB1-AS1	1413
SYNJ2-IT1	596
RPS6KA2-IT1	575
FAM212B-AS1	2128
LARGE-AS1	2736
MIR4508	69
ZBTB9	5418
C6orf89	7227
BTBD9	9368
SFTPB	3655
TEKT5	1602
C6orf25	29940
LGI3	3258
ZSCAN26	2926
KRT5	2294
L1CAM	5213
TRPM6	8591
ATP6V0C	1227
SIGLEC9	2012
PCLO	22278
EML1	4497
LY6G6C	6146
RQCD1	3848
RRAS	977
FAM212B	6074
OBSL1	7253
SMG9	2339
NEUROD6	2159
GULP1	4206
C4B_2	47727
PTCH2	4611
SCMH1	3782
FAM111B	3557
VRK3	2085
ENO1	3241
EZH2	3015
NEIL2	2746
EXOC7	5380
GGCX	7447
ARPC4	2220
SLC25A1	1937
ZC3H15	2123
CNTN3	4975
USE1	848
PLGRKT	991
DCDC5	4739
ERLEC1	2568
SERPINF2	2334
POLA2	2459
C11orf96	1327
NPR3	7588
LMX1B	5822
PDX1	2571
PNRC1	2131
MAP3K4	5707
ITGA6	5784
CD48	1902
SGSH	2760
SYT3	3452
RNASE9	1242
CRHR1	6131
SLC44A4	18927
ZNF268	5861
ZCCHC7	2951
ABL2	12868
ABL1	5951
EDRF1	4899
SLC39A14	5288
WFS1	3632
PROM1	4278
ZFP92	1247
DAZAP2	3005
ZBTB22	13630
UBE2Q2	3526
FDPS	1636
C1QTNF9B-AS1	900
CACFD1	2874
SYN3	3130
DSN1	2506
ARHGAP25	3400
CXorf49B	3690
RASSF7	2219
COMT	2545
EVPLL	1980
MKRN1	3772
PPP1R17	1961
TMPRSS2	3305
RIC3	5854
FERMT2	3425
TCP10L2	2177
GRID2IP	4610
AADACL2	1495
C2orf61	2377
AMMECR1	5899
ZIM2	2248
MRPL39	1160
HGD	1996
MME	6007
TNP1	399
KIR2DS2	2538
FABP5	727
ARNT	4920
TBX1	2792
NDC80	2155
BCL2L11	6289
DDX39B	15971
CD1E	2172
ITGB1	4069
SLC15A2	5501
FGFR3	4419
LOXHD1	7744
ABLIM2	5060
PTGR1	1566
NEK3	2717
TSPAN3	3846
LRRC10B	2218
SNX20	4399
TCF7L2	4308
POLE2	1926
GLRA1	1812
GRM5	8043
ZFYVE19	2385
BACH2	9271
C3orf55	2748
GSTK1	1219
ZFY	5607
TINAGL1	2268
SRPX	1893
TUBA8	2119
MOG	13139
C18orf64	597
IL4R	3921
IL2RA	3208
TFDP2	10125
PDE6D	1965
PCDH8	4000
HAX1	1172
TAB1	3850
TOMM40	1793
RUSC1	4564
AKAP2	7092
RUNX1T1	8975
RAB3IP	10209
PHF1	4560
KIF18A	3446
CABLES2	3775
ABHD17A	1710
IFIT1	4724
LIMS1	5498
RBM10	3409
ANKRD65	2188
IWS1	2986
LEPRE1	3091
RRP36	1152
ASIC2	4260
MIB2	3770
CCR7	2181
CCR3	1861
NDST2	3981
IL7R	4592
FKBP3	1340
PHYH	1927
PFKFB2	9127
MIEF1	5693
ARMCX6	2026
SPIN2A	1317
PCDHA12	5450
ETAA1	3277
LOC101929221	781
SH3D21	2563
ST7	3142
GABRB2	7398
RANBP3	3383
PRKG1	7103
HEYL	4109
BEST2	1901
ULK3	3081
FUT9	12795
TBX6	1793
B3GNT2	2747
AVIL	2975
PDIA6	3460
NR1I3	1399
CAMK2B	4565
POLRMT	3779
KCNK5	3778
AKR1C3	1970
DCHS1	10738
FGF14	3018
JUNB	1815
EZH1	4625
HGS	2950
FST	2092
UBE2L6	1738
LCP1	3774
FIBP	1440
LGALS9	1753
LGALS7	490
LGALS3	2358
LGALS1	554
RPSA	1140
LAMP2	9378
PRKG2	4983
PRR23D1	3168
C21orf58	3949
CT47A7	1290
CT47A8	11610
RAP1GDS1	3746
MUTYH	2294
TBC1D26	1854
PKD1L1	9018
PSME1	1171
HCG22	17098
